projection_id,source_projection_id,game_id,game_date,home,opp,player_key,player,team,stat,stat_raw,stat_is_canonical,line,direction,tier,more_allowed,less_allowed,main_line,alt_line,is_main,odds_type,start_time,updated_at,spread,home_team,away_team,home_spread,away_spread,game_spread,spread_source,spread_ok,spread_reason,minutes_s,p,p_role,p_adj,p_close,p_close_raw,p_close_role,q_blowout,q_blowout_spread_only,q_blowout_team_adj,q_blowout_matchup_adj,blowout_minute_drop_base,blowout_minute_drop,blowout_rule_minute_drop_mult,blowout_rule_sensitivity_mult,blowout_rule_count,blowout_rules_applied,minutes_s_blowout,under_blowout_sens_mult,under_blowout_sens_eligible,minutes_s_close,is_star,rotation_tier,blowout_minute_delta,blowout_base_min_for_curve,fragility,fragility_abs,fragility_gap_core,fragility_gap_usage,fragility_gap_dir,usage_dep,usage_dep_capped,usage_dep_cap,usage_dep_eff,usage_risk_gate,usage_baseline,usage_producer_mult,usage_pressure_mult,usage_usg_pct,usage_usg_scaled,usage_usg_mult,usage_scoring_mult,usage_assist_mult,usage_rebound_mult,usage_threes_mult,usage_metric_mult,usage_target_rate,usage_burden_ratio,usage_dep_raw,p_adj_pre_under_relief,p_adj_pre_competitive_usage,competitive_usage_bonus,competitive_usage_eligible,competitive_usage_usage_gate,competitive_usage_frag_gate,competitive_usage_tight_gate,competitive_usage_total_gate,competitive_usage_bonus_uncapped,competitive_usage_headroom,under_relief_haircut,under_relief_haircut_min,under_relief_factor,under_relief_applied,under_frag,under_frag_gap,under_frag_gap_usage,under_frag_dampen_amount,p_adj_pre_under_frag_dampen,min_mean,min_std,rate_mean,rate_std,rate_mean_ctx,rate_mean_ctx_raw,rate_std_ctx,role_metrics_mult,crafted_role_workload_enabled,role_ctx_mult,role_ctx_mult_raw,role_ctx_rate_mult,role_ctx_rate_mult_raw,role_ctx_rate_clamp_lo,role_ctx_rate_clamp_hi,role_ctx_rate_softcap_k,role_ctx_sigma_mult,role_ctx_reason,role_ctx_damp_applied,recent_form_blend,opp_defense_strength,form_z_line,form_opp_defense_factor,form_opp_defense_rel,form_pace_factor,form_opp_defense_adj,form_opp_rate_shift,games_used,thin_window_mult,role_ctx_outs_used,role_ctx_outs,role_ctx_components,role_ctx_component_mults,role_ctx_component_reasons,role_metrics_score,data_health_flag,role_ctx_bump,role_ctx_by_out,role_ctx_team,role_ctx_stat,role_ctx_min_games,p_for_cal,p_cal_src,p_cal,p_for_cal_src,telemetry_cal_key,telemetry_k_shrink,telemetry_under_penalty,telemetry_demon_penalty,telemetry_mult,telemetry_bucket_mult,telemetry_cal_applied,telemetry_combo_under_midq_blend_applied,telemetry_combo_under_midq_blend_retain,telemetry_combo_under_highq_blend_applied,telemetry_combo_under_highq_blend_retain,telemetry_combo_under_lowmidq_blend_applied,telemetry_combo_under_lowmidq_blend_retain,telemetry_combo_under_midq_ra_trim_applied,telemetry_combo_under_midq_ra_trim_retain,telemetry_under_reb_lowmidq_no_relief_trim_applied,telemetry_under_reb_lowmidq_no_relief_trim_retain,telemetry_reb_over_midq_trim_applied,telemetry_reb_over_midq_trim_retain,telemetry_fg3m_over_highq_blowout_lift_applied,telemetry_fg3m_over_highq_blowout_lift_factor,telemetry_combo_over_high_fragility_lift_applied,telemetry_combo_over_high_fragility_lift_factor,player_te,player_stat_te,player_dir_te,l20_edge,p_gbm,prop_key,external_prior_score,external_prior_n,external_prior_sources,external_prior_epsilon,is_questionable,q_out_frac,rotowire_game_spread
11823925|Anthony Black|AST|GOBLIN|1.5|OVER,11823925,156417,2026-05-03,0,DET,anthony black,Anthony Black,ORL,AST,ASSISTS,1,1.5,OVER,GOBLIN,1,0,,,0,goblin,2026-05-03T15:30:00.000-04:00,2026-05-03 00:59:48.273000+00:00,0.0,,,,,,rotowire,False,rotowire_load_failed:FileNotFoundError,0.7,0.4789021097890211,0.4828017198280172,0.5116624777894891,0.48076304816102977,0.4776022397760224,0.4833016698330167,0.12477864483705288,0.19647260583938952,-0.008718072677463539,-0.0629758883248731,3.4264645502145274,3.4264645502145274,1.0,1.0,0,,0.5319999999999999,0.76,False,0.24499999999999997,False,starter,-3.4264645502145274,26.523087679337596,0.0072975004864348205,0.003508368577815002,0.003508368577815002,0.003508368577815002,0.003508368577815002,0.9108,0.9108,1.04,1.0,0.0,0.92,0.99,1.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.056554501426640154,0.9677684965802377,0.9108,0.47725467958321477,0.47725467958321477,0.0,True,0.0,1.0,0.5522135516294712,0.0,0.0,0.003508368577815002,0.005547040244802404,0.05,1.0,False,0.0,0.0,0.0,0.0,0.47725467958321477,26.523087679337596,8.35136947736593,0.058438047556295114,0.046768878777832014,0.05921505989103397,0.059210563942357915,0.05660489490324491,1.0,False,1.013219407874957,1.015648586089597,1.0132963431742024,1.013219407874957,0.94,1.08,1.1,1.0085926151187221,ok,,0.0,1.0,0.2249653554351872,0.8712229872471283,-0.12877701275287168,-0.006957974038319548,0.8712229872471283,-0.0086378313079052,50,1.0,1,"[""isaac jonathan"", ""franz wagner""]",,,,0.0,OK,0.01564858608959685,"[{""out_canon"": ""franz wagner"", ""weight"": 0.0156485860895968}]",ORL,AST,3.0,0.4828017198280172,p_role,0.32127305872207,p_role,AST|OVER,1.0,1.0,1.0,1.0,1.0,True,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,0.0,False,0.0,-0.14889882485875705,-0.17209143859649123,-0.22809955987055017,0.44999999999999996,0.32127305872207,Anthony Black|AST|OVER|1.5|GOBLIN,0.6881559641254885,2,"bettingpros,oddsapi",0.05,0,0.0,
11828581|Anthony Black|AST|STANDARD|2.5|OVER,11828581,156417,2026-05-03,0,DET,anthony black,Anthony Black,ORL,AST,ASSISTS,1,2.5,OVER,STANDARD,1,0,,,0,standard,2026-05-03T15:30:00.000-04:00,2026-05-03 19:10:05.943000+00:00,0.0,,,,,,rotowire,False,rotowire_load_failed:FileNotFoundError,0.7,0.2841215878412159,0.28902109789021097,0.29449686942752196,0.28054043184818134,0.2765223477652235,0.28202179782021797,0.12477864483705288,0.19647260583938952,-0.008718072677463539,-0.0629758883248731,3.4264645502145274,3.4264645502145274,1.0,1.0,0,,0.5319999999999999,0.76,False,0.24499999999999997,False,starter,-3.4264645502145274,26.523087679337596,0.0,0.0,0.0,0.0,0.0,0.9745560000000001,0.9745560000000001,1.04,1.0,0.0,0.92,0.99,1.07,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.09425750237773359,1.612947494300396,0.9745560000000001,0.28570045590458365,0.28570045590458365,0.0,False,0.0,1.0,0.5522135516294712,0.0,0.0,0.0,0.003320641985627315,0.05,1.0,False,0.0,0.0,0.0,0.0,0.28570045590458365,26.523087679337596,8.35136947736593,0.058438047556295114,0.046768878777832014,0.05921505989103397,0.059210563942357915,0.05660489490324491,1.0,False,1.013219407874957,1.015648586089597,1.0132963431742024,1.013219407874957,0.94,1.08,1.1,1.0085926151187221,ok,,0.0,1.0,-0.5811904031878801,0.8712229872471283,-0.12877701275287168,-0.006957974038319548,0.8712229872471283,-0.0086378313079052,50,1.0,1,"[""isaac jonathan"", ""franz wagner""]",,,,0.0,OK,0.01564858608959685,"[{""out_canon"": ""franz wagner"", ""weight"": 0.0156485860895968}]",ORL,AST,3.0,0.28902109789021097,p_role,0.17283615419172646,p_role,AST|OVER,1.0,1.0,1.0,1.0,1.0,True,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,0.0,False,0.0,-0.14889882485875705,-0.17209143859649123,-0.22809955987055017,0.30000000000000004,0.17283615419172646,Anthony Black|AST|OVER|2.5|STANDARD,0.17592827045876586,2,"bettingpros,oddsapi",0.05,0,0.0,
11823926|Anthony Black|AST|DEMON|3.5|OVER,11823926,156417,2026-05-03,0,DET,anthony black,Anthony Black,ORL,AST,ASSISTS,1,3.5,OVER,DEMON,1,0,,,0,demon,2026-05-03T15:30:00.000-04:00,2026-05-03 00:59:48.273000+00:00,0.0,,,,,,rotowire,False,rotowire_load_failed:FileNotFoundError,0.7,0.14893510648935107,0.14893510648935107,0.14722395055176524,0.14377634966727393,0.14453554644535546,0.14453554644535546,0.12477864483705288,0.19647260583938952,-0.008718072677463539,-0.0629758883248731,3.4264645502145274,3.4264645502145274,1.0,1.0,0,,0.5319999999999999,0.76,False,0.24499999999999997,False,starter,-3.4264645502145274,26.523087679337596,0.0,0.0,0.0,0.0,0.0,0.9745560000000001,0.9745560000000001,1.04,1.0,0.0,0.92,0.99,1.07,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.13196050332882703,2.2581264920205544,0.9745560000000001,0.14722395055176524,0.14722395055176524,0.0,False,0.0,1.0,0.5522135516294712,0.0,0.0,0.0,0.0017111559375858343,0.05,1.0,False,0.0,0.0,0.0,0.0,0.14722395055176524,26.523087679337596,8.35136947736593,0.058438047556295114,0.046768878777832014,0.058438047556295114,0.058438047556295114,0.05612265453339842,1.0,False,1.0,1.0,1.0,1.0,0.94,1.08,1.1,1.0,ok,demon(x0.0),0.0,1.0,-1.3873461618109475,0.8712229872471283,-0.12877701275287168,-0.006957974038319548,0.8712229872471283,-0.0086378313079052,50,1.0,1,"[""isaac jonathan"", ""franz wagner""]",,,,0.0,OK,0.01564858608959685,"[{""out_canon"": ""franz wagner"", ""weight"": 0.0156485860895968}]",ORL,AST,3.0,0.14893510648935107,p_role,0.0606565907984542,p_role,AST|OVER,1.0,1.0,1.0,1.0,1.0,True,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,0.0,False,0.0,-0.14889882485875705,-0.17209143859649123,-0.22809955987055017,0.09999999999999998,0.0606565907984542,Anthony Black|AST|OVER|3.5|DEMON,0.0,0,"bettingpros,oddsapi",0.05,0,0.0,
11825001|Anthony Black|AST|DEMON|4.5|OVER,11825001,156417,2026-05-03,0,DET,anthony black,Anthony Black,ORL,AST,ASSISTS,1,4.5,OVER,DEMON,1,0,,,0,demon,2026-05-03T15:30:00.000-04:00,2026-05-03 12:36:59.452000+00:00,0.0,,,,,,rotowire,False,rotowire_load_failed:FileNotFoundError,0.7,0.07334266573342665,0.07334266573342665,0.07250001190313514,0.07265902693320209,0.07304269573042696,0.07304269573042696,0.12477864483705288,0.19647260583938952,-0.008718072677463539,-0.0629758883248731,3.4264645502145274,3.4264645502145274,1.0,1.0,0,,0.5319999999999999,0.76,False,0.24499999999999997,False,starter,-3.4264645502145274,26.523087679337596,0.002188510317006245,0.0001590150300669474,0.0001590150300669474,0.0001590150300669474,0.0001590150300669474,0.9745560000000001,0.9745560000000001,1.04,1.0,0.0,0.92,0.99,1.07,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.16966350427992047,2.903305489740713,0.9745560000000001,0.07250001190313514,0.07250001190313514,0.0,True,0.0,1.0,0.5522135516294712,0.0,0.0,0.0001590150300669474,0.0008426538302915149,0.05,1.0,False,0.0,0.0,0.0,0.0,0.07250001190313514,26.523087679337596,8.35136947736593,0.058438047556295114,0.046768878777832014,0.058438047556295114,0.058438047556295114,0.05612265453339842,1.0,False,1.0,1.0,1.0,1.0,0.94,1.08,1.1,1.0,ok,demon(x0.0),0.0,1.0,-2.1935019204340147,0.8712229872471283,-0.12877701275287168,-0.006957974038319548,0.8712229872471283,-0.0086378313079052,50,1.0,1,"[""isaac jonathan"", ""franz wagner""]",,,,0.0,OK,0.01564858608959685,"[{""out_canon"": ""franz wagner"", ""weight"": 0.0156485860895968}]",ORL,AST,3.0,0.07334266573342665,p_role,0.04138338987905624,p_role,AST|OVER,1.0,1.0,1.0,1.0,1.0,True,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,0.0,False,0.0,-0.14889882485875705,-0.17209143859649123,-0.22809955987055017,-0.15000000000000002,0.04138338987905624,Anthony Black|AST|OVER|4.5|DEMON,0.0,0,"bettingpros,oddsapi",0.05,0,0.0,
11828581|Anthony Black|AST|STANDARD|2.5|UNDER,11828581,156417,2026-05-03,0,DET,anthony black,Anthony Black,ORL,AST,ASSISTS,1,2.5,UNDER,STANDARD,0,1,,,0,standard,2026-05-03T15:30:00.000-04:00,2026-05-03 19:10:05.943000+00:00,0.0,,,,,,rotowire,False,rotowire_load_failed:FileNotFoundError,0.7,0.6386861313868614,0.6358864113588641,0.6176293647742555,0.6378984427784775,0.6382861713828617,0.6359864013598641,0.12477864483705288,0.19647260583938952,-0.008718072677463539,-0.0629758883248731,3.4264645502145274,3.4264645502145274,1.0,1.0,0,,0.7,0.74,False,0.24499999999999997,False,starter,-3.4264645502145274,26.523087679337596,0.2402798546241474,0.1201399273120737,0.0,0.0,0.0,0.9745560000000001,0.9745560000000001,1.04,1.0,0.0,0.92,0.99,1.07,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.09425750237773359,1.612947494300396,0.9745560000000001,0.6414147447998003,0.6414147447998003,0.0,False,0.0,1.0,0.5522135516294712,0.0,0.0,0.0,0.0,0.05,1.0,False,0.2402798546241474,0.1201399273120737,0.1201399273120737,0.023785380025544867,0.6414147447998003,26.523087679337596,8.35136947736593,0.058438047556295114,0.046768878777832014,0.05921505989103397,0.059210563942357915,0.11320978980648982,1.0,False,1.013219407874957,1.015648586089597,1.0132963431742024,1.013219407874957,0.94,1.08,1.1,1.0085926151187221,ok,,0.0,1.0,-0.5811904031878801,0.8712229872471283,-0.12877701275287168,-0.006957974038319548,0.8712229872471283,-0.0086378313079052,50,1.0,1,"[""isaac jonathan"", ""franz wagner""]",,,,0.0,OK,0.01564858608959685,"[{""out_canon"": ""franz wagner"", ""weight"": 0.0156485860895968}]",ORL,AST,3.0,0.6358864113588641,p_role,0.821044439198732,p_role,AST|UNDER,1.0,1.0,1.0,1.0,1.0,True,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,0.0,False,0.0,-0.14889882485875705,-0.17209143859649123,0.27342430769230763,-0.3,0.821044439198732,Anthony Black|AST|UNDER|2.5|STANDARD,0.0,0,"bettingpros,oddsapi",0.05,0,0.0,
11823922|Anthony Black|FG3M|GOBLIN|0.5|OVER,11823922,156417,2026-05-03,0,DET,anthony black,Anthony Black,ORL,FG3M,3-PT MADE,1,0.5,OVER,GOBLIN,1,0,,,0,goblin,2026-05-03T15:30:00.000-04:00,2026-05-03 00:59:48.273000+00:00,0.0,,,,,,rotowire,False,rotowire_load_failed:FileNotFoundError,0.45,0.6513848615138487,0.655984401559844,0.6807386967510217,0.6582585877555142,0.6568843115688431,0.6604839516048395,0.12477864483705288,0.19647260583938952,-0.008718072677463539,-0.0629758883248731,3.4264645502145274,3.4264645502145274,1.0,1.0,0,,0.342,0.76,False,0.1575,False,starter,-3.4264645502145274,26.523087679337596,0.010779746604261179,0.007095860776083263,0.007095860776083263,0.007095860776083263,0.007095860776083263,0.853776,0.853776,1.03,1.0,0.0,0.88,0.99,0.98,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.018851500475546717,0.5027823042074651,0.853776,0.6511627269794309,0.6511627269794309,0.0,False,0.0,1.0,0.5522135516294712,0.0,0.0,0.007095860776083263,0.00482167458041316,0.05,1.0,False,0.0,0.0,0.0,0.0,0.6511627269794309,26.523087679337596,8.35136947736593,0.03749435952258166,0.03751994844641816,0.03807022880190597,0.038075658525180224,0.037898050667036325,1.0,False,1.0155036386805985,1.0185678822499666,1.0153588242780218,1.0155036386805985,0.94,1.08,1.1,1.010077365142389,ok,,0.0,1.0,0.5419084992356865,0.9568822706796634,-0.04311772932033664,-0.006957974038319548,0.9568822706796634,-0.0016895199069638517,50,1.0,1,"[""isaac jonathan"", ""franz wagner""]",,,,0.0,OK,0.01856788224996664,"[{""out_canon"": ""franz wagner"", ""weight"": 0.0185678822499666}]",ORL,PTS,3.0,0.655984401559844,p_role,0.3983048747100626,p_role,FG3M|OVER,1.0,1.0,1.0,1.0,1.0,True,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,0.0,False,0.0,-0.14889882485875705,-0.06575227906976744,-0.22809955987055017,0.15000000000000002,0.3983048747100626,Anthony Black|FG3M|OVER|0.5|GOBLIN,0.5915193954318165,2,"bettingpros,oddsapi",0.05,0,0.0,
11823923|Anthony Black|FG3M|DEMON|1.5|OVER,11823923,156417,2026-05-03,0,DET,anthony black,Anthony Black,ORL,FG3M,3-PT MADE,1,1.5,OVER,DEMON,1,0,,,0,demon,2026-05-03T15:30:00.000-04:00,2026-05-03 00:59:48.273000+00:00,0.0,,,,,,rotowire,False,rotowire_load_failed:FileNotFoundError,0.45,0.3155184481551845,0.3155184481551845,0.31386592370832145,0.30957237194194304,0.3106189381061894,0.3106189381061894,0.12477864483705288,0.19647260583938952,-0.008718072677463539,-0.0629758883248731,3.4264645502145274,3.4264645502145274,1.0,1.0,0,,0.342,0.76,False,0.1575,False,starter,-3.4264645502145274,26.523087679337596,0.0,0.0,0.0,0.0,0.0,0.9234720000000001,0.9234720000000001,1.03,1.0,0.0,0.88,0.99,1.06,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.056554501426640154,1.5083469126223952,0.9234720000000001,0.3131992965450185,0.3131992965450185,0.0,False,0.0,1.0,0.5522135516294712,0.0,0.0,0.0,0.0023191516101659926,0.05,1.0,False,0.0,0.0,0.0,0.0,0.3131992965450185,26.523087679337596,8.35136947736593,0.03749435952258166,0.03751994844641816,0.03749435952258166,0.03749435952258166,0.03751994844641816,1.0,False,1.0,1.0,1.0,1.0,0.94,1.08,1.1,1.0,ok,demon(x0.0),0.0,1.0,-0.4629703055669558,0.9568822706796634,-0.04311772932033664,-0.006957974038319548,0.9568822706796634,-0.0016895199069638517,50,1.0,1,"[""isaac jonathan"", ""franz wagner""]",,,,0.0,OK,0.01856788224996664,"[{""out_canon"": ""franz wagner"", ""weight"": 0.0185678822499666}]",ORL,PTS,3.0,0.3155184481551845,p_role,0.13367554423933484,p_role,FG3M|OVER,1.0,1.0,1.0,1.0,1.0,True,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,0.0,False,0.0,-0.14889882485875705,-0.06575227906976744,-0.22809955987055017,0.0,0.13367554423933484,Anthony Black|FG3M|OVER|1.5|DEMON,0.013332543266059219,2,"bettingpros,oddsapi",0.05,0,0.0,
11823924|Anthony Black|FG3M|DEMON|2.5|OVER,11823924,156417,2026-05-03,0,DET,anthony black,Anthony Black,ORL,FG3M,3-PT MADE,1,2.5,OVER,DEMON,1,0,,,0,demon,2026-05-03T15:30:00.000-04:00,2026-05-03 00:59:48.273000+00:00,0.0,,,,,,rotowire,False,rotowire_load_failed:FileNotFoundError,0.45,0.12113788621137886,0.12113788621137886,0.12024748780360954,0.11943424682839811,0.11983801619838017,0.11983801619838017,0.12477864483705288,0.19647260583938952,-0.008718072677463539,-0.0629758883248731,3.4264645502145274,3.4264645502145274,1.0,1.0,0,,0.342,0.76,False,0.1575,False,starter,-3.4264645502145274,26.523087679337596,0.0,0.0,0.0,0.0,0.0,0.9234720000000001,0.9234720000000001,1.03,1.0,0.0,0.88,0.99,1.06,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.09425750237773359,2.513911521037325,0.9234720000000001,0.12024748780360954,0.12024748780360954,0.0,False,0.0,1.0,0.5522135516294712,0.0,0.0,0.0,0.0008903984077693189,0.05,1.0,False,0.0,0.0,0.0,0.0,0.12024748780360954,26.523087679337596,8.35136947736593,0.03749435952258166,0.03751994844641816,0.03749435952258166,0.03749435952258166,0.03751994844641816,1.0,False,1.0,1.0,1.0,1.0,0.94,1.08,1.1,1.0,ok,demon(x0.0),0.0,1.0,-1.467849110369598,0.9568822706796634,-0.04311772932033664,-0.006957974038319548,0.9568822706796634,-0.0016895199069638517,50,1.0,1,"[""isaac jonathan"", ""franz wagner""]",,,,0.0,OK,0.01856788224996664,"[{""out_canon"": ""franz wagner"", ""weight"": 0.0185678822499666}]",ORL,PTS,3.0,0.12113788621137886,p_role,0.06261312685970084,p_role,FG3M|OVER,1.0,1.0,1.0,1.0,1.0,True,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,0.0,False,0.0,-0.14889882485875705,-0.06575227906976744,-0.22809955987055017,-0.25,0.06261312685970084,Anthony Black|FG3M|OVER|2.5|DEMON,0.0,0,"bettingpros,oddsapi",0.05,0,0.0,
11828822|Anthony Black|PA|GOBLIN|11.5|OVER,11828822,156417,2026-05-03,0,DET,anthony black,Anthony Black,ORL,PA,PTS+ASTS,1,11.5,OVER,GOBLIN,1,0,,,0,goblin,2026-05-03T15:30:00.000-04:00,2026-05-03 00:59:48.273000+00:00,0.0,,,,,,rotowire,False,rotowire_load_failed:FileNotFoundError,1.0,0.4067093290670933,0.4167083291670833,0.45982261649686224,0.41089370168484113,0.40060993900609937,0.414008599140086,0.12477864483705288,0.19647260583938952,-0.008718072677463539,-0.0629758883248731,3.4264645502145274,3.4264645502145274,1.0,1.0,0,,0.76,0.76,False,0.35,False,starter,-3.4264645502145274,26.523087679337596,0.0025925082397546713,0.0010652453072812484,0.0010652453072812484,0.0010652453072812484,0.0010652453072812484,1.0692000000000002,1.06,1.06,1.0,0.0,1.0,0.99,1.08,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4335845109375745,1.1455515807816006,1.0692000000000002,0.4098284563775599,0.4098284563775599,0.0,True,0.0,1.0,0.5522135516294712,0.0,0.0,0.0010652453072812484,0.0068798727895234,0.05,1.0,False,0.0,0.0,0.0,0.0,0.4098284563775599,26.523087679337596,8.35136947736593,0.37849409682778606,0.21761918743389103,0.38778733210113325,0.38858550222608773,0.28780776916320433,1.0,False,1.0266619888734836,1.0339259072356735,1.0245531841876403,1.0266619888734836,0.94,1.08,1.1,1.0173302927677643,ok_combo,,0.0,1.0,-0.10547963825113763,0.9217397371697109,-0.07826026283028908,-0.006957974038319548,0.9217397371697109,-0.03213602094275514,50,1.0,2,"[""isaac jonathan"", ""franz wagner""]","[""PTS"", ""AST""]","[1.0185678822499666, 1.015648586089597]","[""ok"", ""ok""]",0.0,OK,0.03421646833956349,"[{""out_canon"": ""franz wagner"", ""weight"": 0.0185678822499666}, {""out_canon"": ""franz wagner"", ""weight"": 0.0156485860895968}]",,,,0.4167083291670833,p_role,0.25220872776397857,p_role,PA|OVER,1.0,1.0,1.0,1.0,1.0,True,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,0.0,False,0.0,-0.14889882485875705,-0.11202567741935482,-0.22809955987055017,0.44999999999999996,0.25220872776397857,Anthony Black|PA|OVER|11.5|GOBLIN,0.999883202386047,1,rotowire,0.05,0,0.0,
11829810|Anthony Black|PA|GOBLIN|12.5|OVER,11829810,156417,2026-05-03,0,DET,anthony black,Anthony Black,ORL,PA,PTS+ASTS,1,12.5,OVER,GOBLIN,1,0,,,0,goblin,2026-05-03T15:30:00.000-04:00,2026-05-03 19:10:10.333000+00:00,0.0,,,,,,rotowire,False,rotowire_load_failed:FileNotFoundError,1.0,0.36921307869213077,0.379012098790121,0.4227324414632577,0.36951158029791237,0.3621137886211379,0.3723127687231277,0.12477864483705288,0.19647260583938952,-0.008718072677463539,-0.0629758883248731,3.4264645502145274,3.4264645502145274,1.0,1.0,0,,0.76,0.76,False,0.35,False,starter,-3.4264645502145274,26.523087679337596,0.0,0.0,0.0,0.0,0.0,1.0692000000000002,1.06,1.06,1.0,0.0,1.0,0.99,1.08,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.47128751188866796,1.245164761719131,1.0692000000000002,0.3727545924173103,0.3727545924173103,0.0,False,0.0,1.0,0.5522135516294712,0.0,0.0,0.0,0.006257506372810695,0.05,1.0,False,0.0,0.0,0.0,0.0,0.3727545924173103,26.523087679337596,8.35136947736593,0.37849409682778606,0.21761918743389103,0.38778733210113325,0.38858550222608773,0.28780776916320433,1.0,False,1.0266619888734836,1.0339259072356735,1.0245531841876403,1.0266619888734836,0.94,1.08,1.1,1.0173302927677643,ok_combo,,0.0,1.0,-0.278731828904349,0.9217397371697109,-0.07826026283028908,-0.006957974038319548,0.9217397371697109,-0.03213602094275514,50,1.0,2,"[""isaac jonathan"", ""franz wagner""]","[""PTS"", ""AST""]","[1.0185678822499666, 1.015648586089597]","[""ok"", ""ok""]",0.0,OK,0.03421646833956349,"[{""out_canon"": ""franz wagner"", ""weight"": 0.0185678822499666}, {""out_canon"": ""franz wagner"", ""weight"": 0.0156485860895968}]",,,,0.379012098790121,p_role,0.20795914276511,p_role,PA|OVER,1.0,1.0,1.0,1.0,1.0,True,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,0.0,False,0.0,-0.14889882485875705,-0.11202567741935482,-0.22809955987055017,0.30000000000000004,0.20795914276511,Anthony Black|PA|OVER|12.5|GOBLIN,0.9995569809189482,1,rotowire,0.05,0,0.0,
11823929|Anthony Black|PA|STANDARD|14|OVER,11823929,156417,2026-05-03,0,DET,anthony black,Anthony Black,ORL,PA,PTS+ASTS,1,14.0,OVER,STANDARD,1,0,,,0,standard,2026-05-03T15:30:00.000-04:00,2026-05-03 00:59:48.273000+00:00,0.0,,,,,,rotowire,False,rotowire_load_failed:FileNotFoundError,1.0,0.3169183081691831,0.3266173382661734,0.37106142835630507,0.31989272971406485,0.31041895810418957,0.3223177682231777,0.12477864483705288,0.19647260583938952,-0.008718072677463539,-0.0629758883248731,3.4264645502145274,3.4264645502145274,1.0,1.0,0,,0.76,0.76,False,0.35,False,starter,-3.4264645502145274,26.523087679337596,0.0,0.0,0.0,0.0,0.0,1.0692000000000002,1.06,1.06,1.0,0.0,1.0,0.99,1.08,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5278420133153081,1.3945845331254267,1.0692000000000002,0.32122487168741437,0.32122487168741437,0.0,False,0.0,1.0,0.5522135516294712,0.0,0.0,0.0,0.005392466578759025,0.05,1.0,False,0.0,0.0,0.0,0.0,0.32122487168741437,26.523087679337596,8.35136947736593,0.37849409682778606,0.21761918743389103,0.38778733210113325,0.38858550222608773,0.28780776916320433,1.0,False,1.0266619888734836,1.0339259072356735,1.0245531841876403,1.0266619888734836,0.94,1.08,1.1,1.0173302927677643,ok_combo,,0.0,1.0,-0.5386101148841661,0.9217397371697109,-0.07826026283028908,-0.006957974038319548,0.9217397371697109,-0.03213602094275514,50,1.0,2,"[""isaac jonathan"", ""franz wagner""]","[""PTS"", ""AST""]","[1.0185678822499666, 1.015648586089597]","[""ok"", ""ok""]",0.0,OK,0.03421646833956349,"[{""out_canon"": ""franz wagner"", ""weight"": 0.0185678822499666}, {""out_canon"": ""franz wagner"", ""weight"": 0.0156485860895968}]",,,,0.3266173382661734,p_role,0.13421335697892917,p_role,PA|OVER,1.0,1.0,1.0,1.0,1.0,True,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,0.0,False,0.0,-0.14889882485875705,-0.11202567741935482,-0.22809955987055017,0.19999999999999996,0.13421335697892917,Anthony Black|PA|OVER|14.0|STANDARD,0.9967311333778136,1,rotowire,0.05,0,0.0,
