projection_id,source_projection_id,game_id,game_date,home,opp,player_key,player,team,stat,stat_raw,stat_is_canonical,line,direction,tier,more_allowed,less_allowed,main_line,alt_line,is_main,odds_type,start_time,updated_at,spread,home_team,away_team,home_spread,away_spread,game_spread,spread_source,spread_ok,spread_reason,minutes_s,p,p_role,p_adj,p_close,p_close_raw,p_close_role,q_blowout,q_blowout_spread_only,q_blowout_team_adj,q_blowout_matchup_adj,blowout_minute_drop_base,blowout_minute_drop,blowout_rule_minute_drop_mult,blowout_rule_sensitivity_mult,blowout_rule_count,blowout_rules_applied,minutes_s_blowout,under_blowout_sens_mult,under_blowout_sens_eligible,minutes_s_close,is_star,rotation_tier,blowout_minute_delta,blowout_base_min_for_curve,fragility,fragility_abs,fragility_gap_core,fragility_gap_usage,fragility_gap_dir,usage_dep,usage_dep_capped,usage_dep_cap,usage_dep_eff,usage_risk_gate,usage_baseline,usage_producer_mult,usage_pressure_mult,usage_usg_pct,usage_usg_scaled,usage_usg_mult,usage_scoring_mult,usage_assist_mult,usage_rebound_mult,usage_threes_mult,usage_metric_mult,usage_target_rate,usage_burden_ratio,usage_dep_raw,p_adj_pre_under_relief,p_adj_pre_competitive_usage,competitive_usage_bonus,competitive_usage_eligible,competitive_usage_usage_gate,competitive_usage_frag_gate,competitive_usage_tight_gate,competitive_usage_total_gate,competitive_usage_bonus_uncapped,competitive_usage_headroom,under_relief_haircut,under_relief_haircut_min,under_relief_factor,under_relief_applied,under_frag,under_frag_gap,under_frag_gap_usage,under_frag_dampen_amount,p_adj_pre_under_frag_dampen,min_mean,min_std,rate_mean,rate_std,rate_mean_ctx,rate_mean_ctx_raw,rate_std_ctx,role_metrics_mult,crafted_role_workload_enabled,role_ctx_mult,role_ctx_mult_raw,role_ctx_rate_mult,role_ctx_rate_mult_raw,role_ctx_rate_clamp_lo,role_ctx_rate_clamp_hi,role_ctx_rate_softcap_k,role_ctx_sigma_mult,role_ctx_reason,role_ctx_damp_applied,recent_form_blend,opp_defense_strength,form_z_line,form_opp_defense_factor,form_opp_defense_rel,form_pace_factor,form_opp_defense_adj,form_opp_rate_shift,games_used,thin_window_mult,role_ctx_outs_used,role_ctx_outs,role_ctx_bump,role_ctx_by_out,role_ctx_components,role_ctx_component_mults,role_ctx_component_reasons,role_metrics_score,data_health_flag,role_ctx_team,role_ctx_stat,role_ctx_min_games,p_for_cal,p_cal_src,p_cal,p_for_cal_src,telemetry_cal_key,telemetry_k_shrink,telemetry_under_penalty,telemetry_demon_penalty,telemetry_mult,telemetry_bucket_mult,telemetry_cal_applied,telemetry_combo_under_midq_blend_applied,telemetry_combo_under_midq_blend_retain,telemetry_combo_under_highq_blend_applied,telemetry_combo_under_highq_blend_retain,telemetry_combo_under_lowmidq_blend_applied,telemetry_combo_under_lowmidq_blend_retain,telemetry_combo_under_midq_ra_trim_applied,telemetry_combo_under_midq_ra_trim_retain,telemetry_under_reb_lowmidq_no_relief_trim_applied,telemetry_under_reb_lowmidq_no_relief_trim_retain,telemetry_reb_over_midq_trim_applied,telemetry_reb_over_midq_trim_retain,telemetry_fg3m_over_highq_blowout_lift_applied,telemetry_fg3m_over_highq_blowout_lift_factor,telemetry_combo_over_high_fragility_lift_applied,telemetry_combo_over_high_fragility_lift_factor,player_te,player_stat_te,player_dir_te,l20_edge,p_gbm,external_prior_score,external_prior_n,external_prior_sources,external_prior_epsilon,rotowire_game_spread
11784152|Cade Cunningham|PRA|DEMON|54.5|OVER,11784152,155968,2026-05-01,0,ORL,cade cunningham,Cade Cunningham,DET,PRA,PTS+REBS+ASTS,1,54.5,OVER,DEMON,1,0,,,0,demon,2026-05-01T19:00:00.000-04:00,2026-04-30 15:35:02.202000+00:00,-3.5,ORL,DET,3.5,-3.5,-3.5,rotowire,True,ok,1.0,0.14763523647635238,0.14763523647635238,0.14275222128912068,0.14799491896562583,0.15023497650234977,0.15023497650234977,0.1474813084576779,0.21532800854122008,-0.008949456975772763,-0.05889724310776942,5.748706928306293,5.748706928306293,1.0,1.0,0,,0.76,0.76,False,0.35,True,star,-5.748706928306293,34.81681045823676,0.03551319053875974,0.005255771755994577,0.005242697676505148,0.005255771755994577,0.005255771755994577,1.1,1.06,1.06,1.0024937694858926,0.04156282476487715,1.0,1.03,1.08,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5653358042481662,1.4176035180916402,1.1124,0.14275222128912068,0.14275222128912068,0.0,True,0.0,1.0,0.3251869154232209,0.0,0.0,0.005242697676505148,0.004883015187231693,0.05,1.0,False,0.0,0.0,0.0,0.0,0.14275222128912068,34.81681045823676,9.266341913209107,1.104212697183061,0.19043288315684787,1.104212697183061,1.104212697183061,0.24756274810390225,1.0,False,1.0,1.0,1.0,1.0,0.94,1.08,1.1,1.0,no_outs,"star_ben(35m,x0.4),demon(x0.0)",0.0,1.0,-2.1987176760085294,0.9630089502197995,-0.03699104978020051,0.00650953000960075,0.9630089502197995,-0.04241496077487672,50,1.0,0,[],0.0,[],"[""PTS"", ""REB"", ""AST""]","[1.0, 1.0, 1.0]","[""no_outs"", ""no_outs"", ""no_outs""]",0.0,OK,,,,0.14275222128912068,p_adj,0.17343918934229896,p_adj,PRA|OVER,1.0,1.0,1.0,1.0,1.0,True,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,0.0,False,0.0,-0.013876068493150706,0.019214166666666643,-0.025792127725856706,-0.45,0.17343918934229896,0.0,0,"bettingpros,rotowire",0.05,-3.5
11785052|Cade Cunningham|PRA|DEMON|52.5|OVER,11785052,155968,2026-05-01,0,ORL,cade cunningham,Cade Cunningham,DET,PRA,PTS+REBS+ASTS,1,52.5,OVER,DEMON,1,0,,,0,demon,2026-05-01T19:00:00.000-04:00,2026-04-30 07:38:29.409000+00:00,-3.5,ORL,DET,3.5,-3.5,-3.5,rotowire,True,ok,1.0,0.17643235676432356,0.17643235676432356,0.17059688077524784,0.17606716648988763,0.17873212678732125,0.17873212678732125,0.1474813084576779,0.21532800854122008,-0.008949456975772763,-0.05889724310776942,5.748706928306293,5.748706928306293,1.0,1.0,0,,0.76,0.76,False,0.35,True,star,-5.748706928306293,34.81681045823676,0.031146791622554078,0.005483927346234066,0.005470285714639783,0.005483927346234066,0.005483927346234066,1.1,1.06,1.06,1.0024937694858926,0.04156282476487715,1.0,1.03,1.08,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5078922884959398,1.3655813706387359,1.1124,0.17059688077524784,0.17059688077524784,0.0,True,0.0,1.0,0.3251869154232209,0.0,0.0,0.005470285714639783,0.005835475989075717,0.05,1.0,False,0.0,0.0,0.0,0.0,0.17059688077524784,34.81681045823676,9.266341913209107,1.104212697183061,0.19043288315684787,1.104212697183061,1.104212697183061,0.24756274810390225,1.0,False,1.0,1.0,1.0,1.0,0.94,1.08,1.1,1.0,no_outs,"star_ben(35m,x0.4),demon(x0.0)",0.0,1.0,-1.8970706348044453,0.9630089502197995,-0.03699104978020051,0.00650953000960075,0.9630089502197995,-0.04241496077487672,50,1.0,0,[],0.0,[],"[""PTS"", ""REB"", ""AST""]","[1.0, 1.0, 1.0]","[""no_outs"", ""no_outs"", ""no_outs""]",0.0,OK,,,,0.17059688077524784,p_adj,0.17343166926869955,p_adj,PRA|OVER,1.0,1.0,1.0,1.0,1.0,True,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,0.0,False,0.0,-0.013876068493150706,0.019214166666666643,-0.025792127725856706,-0.45,0.17343166926869955,0.0,0,"bettingpros,rotowire",0.05,-3.5
11784151|Cade Cunningham|PRA|DEMON|49.5|OVER,11784151,155968,2026-05-01,0,ORL,cade cunningham,Cade Cunningham,DET,PRA,PTS+REBS+ASTS,1,49.5,OVER,DEMON,1,0,,,0,demon,2026-05-01T19:00:00.000-04:00,2026-05-01 00:29:14.265000+00:00,-3.5,ORL,DET,3.5,-3.5,-3.5,rotowire,True,ok,1.0,0.22442755724427557,0.22442755724427557,0.2170046465854598,0.22413473418055344,0.22752724727527246,0.22752724727527246,0.1474813084576779,0.21532800854122008,-0.008949456975772763,-0.05889724310776942,5.748706928306293,5.748706928306293,1.0,1.0,0,,0.76,0.76,False,0.35,True,star,-5.748706928306293,34.81681045823676,0.03189094459679781,0.0071478683899700345,0.007130087595093648,0.0071478683899700345,0.0071478683899700345,1.1,1.06,1.06,1.0024937694858926,0.04156282476487715,1.0,1.03,1.08,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.4217270148676004,1.2875481494593795,1.1124,0.2170046465854598,0.2170046465854598,0.0,True,0.0,1.0,0.3251869154232209,0.0,0.0,0.007130087595093648,0.0074229106588157845,0.05,1.0,False,0.0,0.0,0.0,0.0,0.2170046465854598,34.81681045823676,9.266341913209107,1.104212697183061,0.19043288315684787,1.104212697183061,1.104212697183061,0.24756274810390225,1.0,False,1.0,1.0,1.0,1.0,0.94,1.08,1.1,1.0,no_outs,"star_ben(35m,x0.4),demon(x0.0)",0.0,1.0,-1.4446000729983186,0.9630089502197995,-0.03699104978020051,0.00650953000960075,0.9630089502197995,-0.04241496077487672,50,1.0,0,[],0.0,[],"[""PTS"", ""REB"", ""AST""]","[1.0, 1.0, 1.0]","[""no_outs"", ""no_outs"", ""no_outs""]",0.0,OK,,,,0.2170046465854598,p_adj,0.19524402418645556,p_adj,PRA|OVER,1.0,1.0,1.0,1.0,1.0,True,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,0.0,False,0.0,-0.013876068493150706,0.019214166666666643,-0.025792127725856706,-0.4,0.19524402418645556,0.0,0,"bettingpros,rotowire",0.05,-3.5
11784788|Paolo Banchero|PRA|DEMON|49.5|OVER,11784788,155968,2026-05-01,1,DET,paolo banchero,Paolo Banchero,ORL,PRA,PTS+REBS+ASTS,1,49.5,OVER,DEMON,1,0,,,0,demon,2026-05-01T19:00:00.000-04:00,2026-04-30 12:42:24.796000+00:00,3.5,ORL,DET,3.5,-3.5,3.5,rotowire,True,ok,1.0,0.15853414658534146,0.15853414658534146,0.1529798111140348,0.16213505523759664,0.16473352664733526,0.16473352664733526,0.14748130845767796,0.21532800854122014,-0.008949456975772763,-0.05889724310776942,6.2333346974245885,6.2333346974245885,1.0,1.0,0,,0.76,0.76,False,0.35,True,star,-6.2333346974245885,36.54762391937353,0.0566075928400758,0.00917807519199307,0.009155244123561834,0.00917807519199307,0.00917807519199307,1.0908,1.06,1.06,1.0024937694858926,0.041562824764877465,1.0,1.01,1.08,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.354397213597258,1.368909473467942,1.0908,0.1529798111140348,0.1529798111140348,0.0,True,0.0,0.7924050894990525,0.32518691542322037,0.0,0.0,0.009155244123561834,0.005554335471306654,0.05,1.0,False,0.0,0.0,0.0,0.0,0.1529798111140348,36.54762391937353,4.001549239139379,0.9893986708749125,0.24915734657867825,0.9893986708749125,0.9893986708749125,0.32390455055228173,1.0,False,1.0,1.0,1.0,1.0,0.94,1.08,1.1,1.0,ok_combo,"star_ben(37m,x0.4),demon(x0.0),multi_inj(3out,x1.3)",0.0,1.0,-1.1479038761185447,0.9260663544902233,-0.07393364550977666,0.00650953000960075,0.9260663544902233,-0.07898985882126897,50,1.0,3,"[""isaac jonathan"", ""franz wagner""]",0.06458131998052652,"[{""out_canon"": ""franz wagner"", ""weight"": 0.0262888416286978}, {""out_canon"": ""franz wagner"", ""weight"": 0.0157025015577986}, {""out_canon"": ""franz wagner"", ""weight"": 0.0225899767940301}]","[""PTS"", ""REB"", ""AST""]","[1.026288841628698, 1.0157025015577985, 1.02258997679403]","[""ok"", ""ok"", ""ok""]",0.0,OK,,,,0.15853414658534146,p_role,0.2028040215083786,p_role,PRA|OVER,1.0,1.0,1.0,1.0,1.0,True,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,0.0,False,0.0,-0.002293204429301532,0.050677677966101675,-0.014074380999020586,-0.45,0.2028040215083786,0.0,0,"bettingpros,rotowire",0.05,3.5
11786205|Cade Cunningham|PA|DEMON|49.5|OVER,11786205,155968,2026-05-01,0,ORL,cade cunningham,Cade Cunningham,DET,PA,PTS+ASTS,1,49.5,OVER,DEMON,1,0,,,0,demon,2026-05-01T19:00:00.000-04:00,2026-05-01 05:37:56.328000+00:00,-3.5,ORL,DET,3.5,-3.5,-3.5,rotowire,True,ok,1.0,0.10673932606739327,0.10673932606739327,0.1032089375050026,0.10790577951869756,0.10953904609539046,0.10953904609539046,0.1474813084576779,0.21532800854122008,-0.008949456975772763,-0.05889724310776942,5.748706928306293,5.748706928306293,1.0,1.0,0,,0.76,0.76,False,0.35,True,star,-5.748706928306293,34.81681045823676,0.043635798527111296,0.00470855485498878,0.0046968420136949685,0.00470855485498878,0.00470855485498878,1.0908,1.06,1.06,1.0024937694858926,0.04156282476487715,1.0,1.01,1.08,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.4217270148676004,1.5137012694106542,1.0908,0.1032089375050026,0.1032089375050026,0.0,True,0.0,0.9545525184111088,0.3251869154232209,0.0,0.0,0.0046968420136949685,0.003530388562390671,0.05,1.0,False,0.0,0.0,0.0,0.0,0.1032089375050026,34.81681045823676,9.266341913209107,0.9392388337106548,0.1711391982066341,0.9392388337106548,0.9392388337106548,0.22248095766862433,1.0,False,1.0,1.0,1.0,1.0,0.94,1.08,1.1,1.0,no_outs,"star_ben(35m,x0.4),demon(x0.0)",0.0,1.0,-2.6038835699805563,0.9622358189987001,-0.03776418100129986,0.00650953000960075,0.9622358189987001,-0.036861634767045404,50,1.0,0,[],0.0,[],"[""PTS"", ""AST""]","[1.0, 1.0]","[""no_outs"", ""no_outs""]",0.0,OK,,,,0.1032089375050026,p_adj,0.0710749849975262,p_adj,PA|OVER,1.0,1.0,1.0,1.0,1.0,True,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,0.0,False,0.0,-0.013876068493150706,-0.03714626923076925,-0.025792127725856706,-0.45,0.0710749849975262,0.0,0,"bettingpros,rotowire",0.05,-3.5
11784149|Cade Cunningham|PRA|STANDARD|45.5|OVER,11784149,155968,2026-05-01,0,ORL,cade cunningham,Cade Cunningham,DET,PRA,PTS+REBS+ASTS,1,45.5,OVER,STANDARD,1,0,,,0,standard,2026-05-01T19:00:00.000-04:00,2026-05-01 12:40:54.495000+00:00,-3.5,ORL,DET,3.5,-3.5,-3.5,rotowire,True,ok,1.0,0.3016198380161984,0.3016198380161984,0.29164380326355066,0.3010625423084428,0.3056194380561944,0.3056194380561944,0.1474813084576779,0.21532800854122008,-0.008949456975772763,-0.05889724310776942,5.748706928306293,5.748706928306293,1.0,1.0,0,,0.76,0.76,False,0.35,True,star,-5.748706928306293,34.81681045823676,0.03136300894996163,0.009442227208917893,0.009418739044892155,0.009442227208917893,0.009442227208917893,1.1,1.06,1.06,1.0024937694858926,0.04156282476487715,1.0,1.03,1.08,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.3068399833631479,1.183503854553571,1.1124,0.29164380326355066,0.29164380326355066,0.0,True,0.0,1.0,0.3251869154232209,0.0,0.0,0.009418739044892155,0.009976034752647744,0.05,1.0,False,0.0,0.0,0.0,0.0,0.29164380326355066,34.81681045823676,9.266341913209107,1.104212697183061,0.19043288315684787,1.104212697183061,1.104212697183061,0.24756274810390225,1.0,False,1.0,1.0,1.0,1.0,0.94,1.08,1.1,1.0,no_outs,"star_ben(35m,x0.4)",0.0,1.0,-0.8413059905901498,0.9630089502197995,-0.03699104978020051,0.00650953000960075,0.9630089502197995,-0.04241496077487672,50,1.0,0,[],0.0,[],"[""PTS"", ""REB"", ""AST""]","[1.0, 1.0, 1.0]","[""no_outs"", ""no_outs"", ""no_outs""]",0.0,OK,,,,0.29164380326355066,p_adj,0.456648734958704,p_adj,PRA|OVER,1.0,1.0,1.0,1.0,1.0,True,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,0.0,False,0.0,-0.013876068493150706,0.019214166666666643,-0.025792127725856706,-0.25,0.456648734958704,0.0,0,"bettingpros,rotowire",0.05,-3.5
11784149|Cade Cunningham|PRA|STANDARD|45.5|UNDER,11784149,155968,2026-05-01,0,ORL,cade cunningham,Cade Cunningham,DET,PRA,PTS+REBS+ASTS,1,45.5,UNDER,STANDARD,0,1,,,0,standard,2026-05-01T19:00:00.000-04:00,2026-05-01 12:40:54.495000+00:00,-3.5,ORL,DET,3.5,-3.5,-3.5,rotowire,True,ok,1.0,0.6516848315168483,0.6516848315168483,0.6319934718832011,0.6530368705115361,0.6477852214778522,0.6477852214778522,0.1474813084576779,0.21532800854122008,-0.008949456975772763,-0.05889724310776942,5.748706928306293,5.748706928306293,1.0,1.0,0,,1.0,0.74,False,0.35,True,star,-5.748706928306293,34.81681045823676,0.2997373593348798,0.1498686796674399,0.0,0.0,0.0,1.1,1.06,1.06,1.0024937694858926,0.04156282476487715,1.0,1.03,1.08,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.3068399833631479,1.183503854553571,1.1124,0.6670414703356848,0.6670414703356848,0.0,False,0.0,1.0,0.3251869154232209,0.0,0.0,0.0,0.0,0.05,1.0,False,0.2997373593348798,0.14949587142501328,0.1498686796674399,0.03504799845248374,0.6670414703356848,34.81681045823676,9.266341913209107,1.104212697183061,0.19043288315684787,1.104212697183061,1.104212697183061,0.4951254962078045,1.0,False,1.0,1.0,1.0,1.0,0.94,1.08,1.1,1.0,no_outs,"star_ben(35m,x0.4)",0.0,1.0,-0.8413059905901498,0.9630089502197995,-0.03699104978020051,0.00650953000960075,0.9630089502197995,-0.04241496077487672,50,1.0,0,[],0.0,[],"[""PTS"", ""REB"", ""AST""]","[1.0, 1.0, 1.0]","[""no_outs"", ""no_outs"", ""no_outs""]",0.0,OK,,,,0.6319934718832011,p_adj,0.6113539076090823,p_adj,PRA|UNDER,1.0,1.0,1.0,1.0,1.0,True,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,0.0,False,0.0,-0.013876068493150706,0.019214166666666643,0.05952792592592593,0.25,0.6113539076090823,-0.9829455259713697,2,"bettingpros,rotowire",0.05,-3.5
11784145|Cade Cunningham|PA|DEMON|44.5|OVER,11784145,155968,2026-05-01,0,ORL,cade cunningham,Cade Cunningham,DET,PA,PTS+ASTS,1,44.5,OVER,DEMON,1,0,,,0,demon,2026-05-01T19:00:00.000-04:00,2026-04-30 12:42:24.796000+00:00,-3.5,ORL,DET,3.5,-3.5,-3.5,rotowire,True,ok,1.0,0.18463153684631536,0.18463153684631536,0.17852487410115905,0.18443959119010608,0.18723127687231278,0.18723127687231278,0.1474813084576779,0.21532800854122008,-0.008949456975772763,-0.05889724310776942,5.748706928306293,5.748706928306293,1.0,1.0,0,,0.76,0.76,False,0.35,True,star,-5.748706928306293,34.81681045823676,0.03214855873232498,0.005929467029941134,0.00591471708894703,0.005929467029941134,0.005929467029941134,1.0908,1.06,1.06,1.0024937694858926,0.04156282476487715,1.0,1.01,1.08,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.2781182254870347,1.360802151288366,1.0908,0.17852487410115905,0.17852487410115905,0.0,True,0.0,1.0,0.3251869154232209,0.0,0.0,0.00591471708894703,0.0061066627451563105,0.05,1.0,False,0.0,0.0,0.0,0.0,0.17852487410115905,34.81681045823676,9.266341913209107,0.9392388337106548,0.1711391982066341,0.9392388337106548,0.9392388337106548,0.22248095766862433,1.0,False,1.0,1.0,1.0,1.0,0.94,1.08,1.1,1.0,no_outs,"star_ben(35m,x0.4),demon(x0.0)",0.0,1.0,-1.7647491642719826,0.9622358189987001,-0.03776418100129986,0.00650953000960075,0.9622358189987001,-0.036861634767045404,50,1.0,0,[],0.0,[],"[""PTS"", ""AST""]","[1.0, 1.0]","[""no_outs"", ""no_outs""]",0.0,OK,,,,0.17852487410115905,p_adj,0.08274912992967443,p_adj,PA|OVER,1.0,1.0,1.0,1.0,1.0,True,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,0.0,False,0.0,-0.013876068493150706,-0.03714626923076925,-0.025792127725856706,-0.4,0.08274912992967443,0.0,0,"bettingpros,rotowire",0.05,-3.5
11784148|Cade Cunningham|PR|DEMON|44.5|OVER,11784148,155968,2026-05-01,0,ORL,cade cunningham,Cade Cunningham,DET,PR,PTS+REBS,1,44.5,OVER,DEMON,1,0,,,0,demon,2026-05-01T19:00:00.000-04:00,2026-05-01 04:40:18.525000+00:00,-3.5,ORL,DET,3.5,-3.5,-3.5,rotowire,True,ok,1.0,0.17623237676232376,0.17623237676232376,0.17040351508437193,0.17527917357692588,0.17793220677932206,0.17793220677932206,0.1474813084576779,0.21532800854122008,-0.008949456975772763,-0.05889724310776942,5.748706928306293,5.748706928306293,1.0,1.0,0,,0.76,0.76,False,0.35,True,star,-5.748706928306293,34.81681045823676,0.027885898599248952,0.004887817260926311,0.004875658492553947,0.004887817260926311,0.004887817260926311,1.0908,1.06,1.06,1.0024937694858926,0.04156282476487715,1.0,1.01,1.08,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.2781182254870347,1.4710681308094835,1.0908,0.17040351508437193,0.17040351508437193,0.0,True,0.0,1.0,0.3251869154232209,0.0,0.0,0.004875658492553947,0.005828861677951824,0.05,1.0,False,0.0,0.0,0.0,0.0,0.17040351508437193,34.81681045823676,9.266341913209107,0.8688368667083595,0.23765585828855135,0.8688368667083595,0.8688368667083595,0.30895261577511673,1.0,False,1.0,1.0,1.0,1.0,0.94,1.08,1.1,1.0,no_outs,"star_ben(35m,x0.4),demon(x0.0)",0.0,1.0,-1.6014998165128391,0.9680499735139817,-0.0319500264860183,0.00650953000960075,0.9680499735139817,-0.028675545336358965,50,1.0,0,[],0.0,[],"[""PTS"", ""REB""]","[1.0, 1.0]","[""no_outs"", ""no_outs""]",0.0,OK,,,,0.17040351508437193,p_adj,0.13499977275775113,p_adj,PR|OVER,1.0,1.0,1.0,1.0,1.0,True,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,0.0,False,0.0,-0.013876068493150706,0.005228454545454508,-0.025792127725856706,-0.45,0.13499977275775113,0.0,0,"bettingpros,rotowire",0.05,-3.5
11784248|Paolo Banchero|PRA|DEMON|44.5|OVER,11784248,155968,2026-05-01,1,DET,paolo banchero,Paolo Banchero,ORL,PRA,PTS+REBS+ASTS,1,44.5,OVER,DEMON,1,0,,,0,demon,2026-05-01T19:00:00.000-04:00,2026-04-30 12:42:24.796000+00:00,3.5,ORL,DET,3.5,-3.5,3.5,rotowire,True,ok,1.0,0.24802519748025198,0.24802519748025198,0.23933549130770315,0.25857957974918677,0.2627237276272373,0.2627237276272373,0.14748130845767796,0.21532800854122014,-0.008949456975772763,-0.05889724310776942,6.2333346974245885,6.2333346974245885,1.0,1.0,0,,0.76,0.76,False,0.35,True,star,-6.2333346974245885,36.54762391937353,0.07460789742459732,0.01929207876202281,0.01924408844148362,0.01929207876202281,0.01929207876202281,1.0908,1.06,1.06,1.0024937694858926,0.041562824764877465,1.0,1.01,1.08,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.2175894142439996,1.2306357892792608,1.0908,0.23933549130770315,0.23933549130770315,0.0,True,0.0,0.5674012821925335,0.32518691542322037,0.0,0.0,0.01924408844148362,0.008689706172548828,0.05,1.0,False,0.0,0.0,0.0,0.0,0.23933549130770315,36.54762391937353,4.001549239139379,0.9893986708749125,0.24915734657867825,0.9893986708749125,0.9893986708749125,0.32390455055228173,1.0,False,1.0,1.0,1.0,1.0,0.94,1.08,1.1,1.0,ok_combo,"star_ben(37m,x0.4),demon(x0.0),multi_inj(3out,x1.3)",0.0,1.0,-0.5988219356024637,0.9260663544902233,-0.07393364550977666,0.00650953000960075,0.9260663544902233,-0.07898985882126897,50,1.0,3,"[""isaac jonathan"", ""franz wagner""]",0.06458131998052652,"[{""out_canon"": ""franz wagner"", ""weight"": 0.0262888416286978}, {""out_canon"": ""franz wagner"", ""weight"": 0.0157025015577986}, {""out_canon"": ""franz wagner"", ""weight"": 0.0225899767940301}]","[""PTS"", ""REB"", ""AST""]","[1.026288841628698, 1.0157025015577985, 1.02258997679403]","[""ok"", ""ok"", ""ok""]",0.0,OK,,,,0.24802519748025198,p_role,0.22514030023244866,p_role,PRA|OVER,1.0,1.0,1.0,1.0,1.0,True,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,0.0,False,0.0,-0.002293204429301532,0.050677677966101675,-0.014074380999020586,-0.35,0.22514030023244866,0.0,0,"bettingpros,rotowire",0.05,3.5
