n_legs,legs,hit_prob,payout_mult,kernel_mult,payout_mult_eff,ev_mult,atlas_power_mult,pricing_engine,avg_p,avg_fragility,slip_key,pen_team,pen_family,pen_frag,pen_total,role_ctx_bonus,role_ctx_on_legs,role_ctx_on_share,score_adj,players,rank_ev,beam_selected,leg_1,leg_2,leg_3,leg_4,leg_5,q_leg_count,q_players
5,Coby White OVER REB 1.5 (GOBLIN) [id:10645583] | Naz Reid OVER REB 4.5 (GOBLIN) [id:10652124] | Grant Williams OVER AST 0.5 (GOBLIN) [id:10645595] | LaMelo Ball UNDER PA 27.5 (STANDARD) [id:10644001] | Julius Randle UNDER PA 27.5 (STANDARD) [id:10649384],0.1754069046252094,20.0,0.4352428080654738,8.704856161309475,1.5268918744629774,20.0,pp_kernel,0.7115188481151885,0.0321753412120364,Coby White OVER REB 1.5 (GOBLIN) [id:10645583] | Naz Reid OVER REB 4.5 (GOBLIN) [id:10652124] | Grant Williams OVER AST 0.5 (GOBLIN) [id:10645595] | LaMelo Ball UNDER PA 27.5 (STANDARD) [id:10644001] | Julius Randle UNDER PA 27.5 (STANDARD) [id:10649384],0.0,0.0,0.0,0.0,0.0,5,1.0,2.2768918744629776,"['coby white', 'naz reid', 'grant williams', 'lamelo ball', 'julius randle']",1.5268918744629774,1,Coby White OVER REB 1.5 (GOBLIN) [id:10645583],Naz Reid OVER REB 4.5 (GOBLIN) [id:10652124],Grant Williams OVER AST 0.5 (GOBLIN) [id:10645595],LaMelo Ball UNDER PA 27.5 (STANDARD) [id:10644001],Julius Randle UNDER PA 27.5 (STANDARD) [id:10649384],0,
5,LaMelo Ball OVER PR 19.5 (GOBLIN) [id:10644526] | Ryan Kalkbrenner OVER REB 2.5 (GOBLIN) [id:10644583] | Coby White OVER PRA 14.5 (GOBLIN) [id:10653364] | Naz Reid UNDER PA 17.5 (STANDARD) [id:10649428] | Brandon Miller UNDER RA 8.5 (STANDARD) [id:10650496],0.1681949571376029,20.0,0.44628791866508816,8.925758373301763,1.5012675470180903,20.0,pp_kernel,0.7135186481351865,0.04149682630378697,LaMelo Ball OVER PR 19.5 (GOBLIN) [id:10644526] | Ryan Kalkbrenner OVER REB 2.5 (GOBLIN) [id:10644583] | Coby White OVER PRA 14.5 (GOBLIN) [id:10653364] | Naz Reid UNDER PA 17.5 (STANDARD) [id:10649428] | Brandon Miller UNDER RA 8.5 (STANDARD) [id:10650496],0.0,0.0,0.0,0.0,0.0,5,1.0,2.2512675470180903,"['lamelo ball', 'ryan kalkbrenner', 'coby white', 'naz reid', 'brandon miller']",1.5012675470180903,1,LaMelo Ball OVER PR 19.5 (GOBLIN) [id:10644526],Ryan Kalkbrenner OVER REB 2.5 (GOBLIN) [id:10644583],Coby White OVER PRA 14.5 (GOBLIN) [id:10653364],Naz Reid UNDER PA 17.5 (STANDARD) [id:10649428],Brandon Miller UNDER RA 8.5 (STANDARD) [id:10650496],0,
5,LaMelo Ball OVER PTS 14.5 (GOBLIN) [id:10644000] | Ryan Kalkbrenner OVER PTS 3.5 (GOBLIN) [id:10655497] | Kon Knueppel OVER PR 19.5 (GOBLIN) [id:10644514] | Brandon Miller UNDER REB 5.5 (STANDARD) [id:10655096] | Donte DiVincenzo UNDER PR 17.5 (STANDARD) [id:10649233],0.16077387351458897,20.0,0.4592613466596199,9.185226933192398,1.4767445131598704,20.0,pp_kernel,0.7017598240175983,0.03659987147855802,LaMelo Ball OVER PTS 14.5 (GOBLIN) [id:10644000] | Ryan Kalkbrenner OVER PTS 3.5 (GOBLIN) [id:10655497] | Kon Knueppel OVER PR 19.5 (GOBLIN) [id:10644514] | Brandon Miller UNDER REB 5.5 (STANDARD) [id:10655096] | Donte DiVincenzo UNDER PR 17.5 (STANDARD) [id:10649233],0.0,0.0,0.0,0.0,0.0,5,1.0,2.22674451315987,"['lamelo ball', 'ryan kalkbrenner', 'kon knueppel', 'brandon miller', 'donte divincenzo']",1.4767445131598704,1,LaMelo Ball OVER PTS 14.5 (GOBLIN) [id:10644000],Ryan Kalkbrenner OVER PTS 3.5 (GOBLIN) [id:10655497],Kon Knueppel OVER PR 19.5 (GOBLIN) [id:10644514],Brandon Miller UNDER REB 5.5 (STANDARD) [id:10655096],Donte DiVincenzo UNDER PR 17.5 (STANDARD) [id:10649233],0,
5,Kon Knueppel OVER RA 7.5 (GOBLIN) [id:10645616] | Ryan Kalkbrenner OVER PTS 3.5 (GOBLIN) [id:10655497] | Coby White OVER RA 4.5 (GOBLIN) [id:10645584] | Ayo Dosunmu UNDER PRA 24.5 (STANDARD) [id:10649103] | Jaden McDaniels UNDER PRA 22.5 (STANDARD) [id:10650234],0.1897730526691122,20.0,0.385581995009817,7.71163990019634,1.4634614449451873,20.0,pp_kernel,0.7235976402359764,0.03853631064404926,Kon Knueppel OVER RA 7.5 (GOBLIN) [id:10645616] | Ryan Kalkbrenner OVER PTS 3.5 (GOBLIN) [id:10655497] | Coby White OVER RA 4.5 (GOBLIN) [id:10645584] | Ayo Dosunmu UNDER PRA 24.5 (STANDARD) [id:10649103] | Jaden McDaniels UNDER PRA 22.5 (STANDARD) [id:10650234],0.0,0.0,0.0,0.0,0.0,5,1.0,2.213461444945187,"['kon knueppel', 'ryan kalkbrenner', 'coby white', 'ayo dosunmu', 'jaden mcdaniels']",1.4634614449451873,1,Kon Knueppel OVER RA 7.5 (GOBLIN) [id:10645616],Ryan Kalkbrenner OVER PTS 3.5 (GOBLIN) [id:10655497],Coby White OVER RA 4.5 (GOBLIN) [id:10645584],Ayo Dosunmu UNDER PRA 24.5 (STANDARD) [id:10649103],Jaden McDaniels UNDER PRA 22.5 (STANDARD) [id:10650234],0,
5,Davion Mitchell OVER PTS 5.5 (GOBLIN) [id:10644479] | Bam Adebayo OVER REB 7.5 (GOBLIN) [id:10644454] | Jaylon Tyson OVER PTS 5.5 (GOBLIN) [id:10652642] | Ryan Rollins OVER PA 21.5 (STANDARD) [id:10649070] | Tyler Herro UNDER PR 27 (STANDARD) [id:10644162],0.0655098841477577,20.0,0.5492135520275779,10.984271040551558,0.7195783233141025,20.0,pp_kernel,0.5990419852939219,0.07246129151822314,Davion Mitchell OVER PTS 5.5 (GOBLIN) [id:10644479] | Bam Adebayo OVER REB 7.5 (GOBLIN) [id:10644454] | Jaylon Tyson OVER PTS 5.5 (GOBLIN) [id:10652642] | Ryan Rollins OVER PA 21.5 (STANDARD) [id:10649070] | Tyler Herro UNDER PR 27 (STANDARD) [id:10644162],0.0,0.0,0.0,0.0,0.0,0,0.0,0.7195783233141025,"['davion mitchell', 'bam adebayo', 'jaylon tyson', 'ryan rollins', 'tyler herro']",0.7195783233141025,1,Davion Mitchell OVER PTS 5.5 (GOBLIN) [id:10644479],Bam Adebayo OVER REB 7.5 (GOBLIN) [id:10644454],Jaylon Tyson OVER PTS 5.5 (GOBLIN) [id:10652642],Ryan Rollins OVER PA 21.5 (STANDARD) [id:10649070],Tyler Herro UNDER PR 27 (STANDARD) [id:10644162],0,
5,Shai Gilgeous-Alexander OVER REB 2.5 (GOBLIN) [id:10648719] | Royce O'Neale OVER FG3M 1.5 (GOBLIN) [id:10649494] | James Harden OVER PTS 14.5 (GOBLIN) [id:10645152] | Devin Booker OVER PRA 36 (STANDARD) [id:10649193] | Kel'el Ware UNDER REB 10.5 (STANDARD) [id:10650505],0.06195348180529499,20.0,0.5724626704955571,11.449253409911142,0.7093211128151415,20.0,pp_kernel,0.5936735631556,0.05645423690805309,Shai Gilgeous-Alexander OVER REB 2.5 (GOBLIN) [id:10648719] | Royce O'Neale OVER FG3M 1.5 (GOBLIN) [id:10649494] | James Harden OVER PTS 14.5 (GOBLIN) [id:10645152] | Devin Booker OVER PRA 36 (STANDARD) [id:10649193] | Kel'el Ware UNDER REB 10.5 (STANDARD) [id:10650505],0.0,0.0,0.0,0.0,0.0,0,0.0,0.7093211128151415,"['shai gilgeous-alexander', ""royce o'neale"", 'james harden', 'devin booker', ""kel'el ware""]",0.7093211128151415,1,Shai Gilgeous-Alexander OVER REB 2.5 (GOBLIN) [id:10648719],Royce O'Neale OVER FG3M 1.5 (GOBLIN) [id:10649494],James Harden OVER PTS 14.5 (GOBLIN) [id:10645152],Devin Booker OVER PRA 36 (STANDARD) [id:10649193],Kel'el Ware UNDER REB 10.5 (STANDARD) [id:10650505],0,
5,Stephon Castle OVER REB 3.5 (GOBLIN) [id:10650583] | Royce O'Neale OVER PTS 4.5 (GOBLIN) [id:10652155] | Sam Merrill OVER PRA 9.5 (GOBLIN) [id:10653972] | Devin Booker UNDER PTS 27.5 (STANDARD) [id:10649186] | Tristan Silva UNDER PR 16.5 (STANDARD) [id:10646713],0.10614699729409062,20.0,0.3314456857192488,6.628913714384977,0.7036392861035823,20.0,pp_kernel,0.6475692607022107,0.0658279295751834,Stephon Castle OVER REB 3.5 (GOBLIN) [id:10650583] | Royce O'Neale OVER PTS 4.5 (GOBLIN) [id:10652155] | Sam Merrill OVER PRA 9.5 (GOBLIN) [id:10653972] | Devin Booker UNDER PTS 27.5 (STANDARD) [id:10649186] | Tristan Silva UNDER PR 16.5 (STANDARD) [id:10646713],0.0,0.0,0.0,0.0,0.0,0,0.0,0.7036392861035823,"['stephon castle', ""royce o'neale"", 'sam merrill', 'devin booker', 'tristan silva']",0.7036392861035823,1,Stephon Castle OVER REB 3.5 (GOBLIN) [id:10650583],Royce O'Neale OVER PTS 4.5 (GOBLIN) [id:10652155],Sam Merrill OVER PRA 9.5 (GOBLIN) [id:10653972],Devin Booker UNDER PTS 27.5 (STANDARD) [id:10649186],Tristan Silva UNDER PR 16.5 (STANDARD) [id:10646713],0,
5,Royce O'Neale OVER PR 9.5 (GOBLIN) [id:10652501] | Jaylon Tyson OVER AST 0.5 (GOBLIN) [id:10653216] | Duncan Robinson OVER PTS 8.5 (GOBLIN) [id:10647683] | Will Riley UNDER PTS 14.5 (STANDARD) [id:10647532] | Jalen Suggs UNDER RA 10.5 (STANDARD) [id:10645949],0.06039770178043254,20.0,0.5776589559867502,11.553179119735004,0.6977854670896749,20.0,pp_kernel,0.5800082042761051,0.06897814355002835,Royce O'Neale OVER PR 9.5 (GOBLIN) [id:10652501] | Jaylon Tyson OVER AST 0.5 (GOBLIN) [id:10653216] | Duncan Robinson OVER PTS 8.5 (GOBLIN) [id:10647683] | Will Riley UNDER PTS 14.5 (STANDARD) [id:10647532] | Jalen Suggs UNDER RA 10.5 (STANDARD) [id:10645949],0.0,0.0,0.0,0.0,0.0,0,0.0,0.6977854670896749,"[""royce o'neale"", 'jaylon tyson', 'duncan robinson', 'will riley', 'jalen suggs']",0.6977854670896749,1,Royce O'Neale OVER PR 9.5 (GOBLIN) [id:10652501],Jaylon Tyson OVER AST 0.5 (GOBLIN) [id:10653216],Duncan Robinson OVER PTS 8.5 (GOBLIN) [id:10647683],Will Riley UNDER PTS 14.5 (STANDARD) [id:10647532],Jalen Suggs UNDER RA 10.5 (STANDARD) [id:10645949],0,
5,Collin Gillespie OVER PR 11.5 (GOBLIN) [id:10652478] | Davion Mitchell OVER PTS 6.5 (GOBLIN) [id:10652254] | Bam Adebayo OVER AST 2.5 (GOBLIN) [id:10643786] | Myles Turner OVER REB 4.5 (STANDARD) [id:10647826] | Pelle Larsson UNDER PTS 11.5 (STANDARD) [id:10644109],0.05491585498377977,20.0,0.5798044250844905,11.59608850168981,0.6368091145378737,20.0,pp_kernel,0.5657059378534404,0.048704740540938575,Collin Gillespie OVER PR 11.5 (GOBLIN) [id:10652478] | Davion Mitchell OVER PTS 6.5 (GOBLIN) [id:10652254] | Bam Adebayo OVER AST 2.5 (GOBLIN) [id:10643786] | Myles Turner OVER REB 4.5 (STANDARD) [id:10647826] | Pelle Larsson UNDER PTS 11.5 (STANDARD) [id:10644109],0.0,0.0,0.0,0.0,0.0,0,0.0,0.6368091145378737,"['collin gillespie', 'davion mitchell', 'bam adebayo', 'myles turner', 'pelle larsson']",0.6368091145378737,1,Collin Gillespie OVER PR 11.5 (GOBLIN) [id:10652478],Davion Mitchell OVER PTS 6.5 (GOBLIN) [id:10652254],Bam Adebayo OVER AST 2.5 (GOBLIN) [id:10643786],Myles Turner OVER REB 4.5 (STANDARD) [id:10647826],Pelle Larsson UNDER PTS 11.5 (STANDARD) [id:10644109],0,
5,Desmond Bane OVER REB 2.5 (GOBLIN) [id:10648599] | James Harden OVER PR 19.5 (GOBLIN) [id:10646928] | Malik Monk OVER PTS 8.5 (GOBLIN) [id:10654956] | Nique Clifford UNDER PA 15.5 (STANDARD) [id:10651773] | Devin Booker UNDER PR 31.5 (STANDARD) [id:10649192],0.05922533469585588,20.0,0.5357774358298133,10.715548716596267,0.6346319591901628,20.0,pp_kernel,0.5708991476120081,0.07174293460842092,Desmond Bane OVER REB 2.5 (GOBLIN) [id:10648599] | James Harden OVER PR 19.5 (GOBLIN) [id:10646928] | Malik Monk OVER PTS 8.5 (GOBLIN) [id:10654956] | Nique Clifford UNDER PA 15.5 (STANDARD) [id:10651773] | Devin Booker UNDER PR 31.5 (STANDARD) [id:10649192],0.0,0.0,0.0,0.0,0.0,0,0.0,0.6346319591901628,"['desmond bane', 'james harden', 'malik monk', 'nique clifford', 'devin booker']",0.6346319591901628,1,Desmond Bane OVER REB 2.5 (GOBLIN) [id:10648599],James Harden OVER PR 19.5 (GOBLIN) [id:10646928],Malik Monk OVER PTS 8.5 (GOBLIN) [id:10654956],Nique Clifford UNDER PA 15.5 (STANDARD) [id:10651773],Devin Booker UNDER PR 31.5 (STANDARD) [id:10649192],0,
