_ep_player,_ep_stat,_ep_tier,_ep_dir,_ep_line,mu,edge_at_pp_line,implied_direction,apply_prior,external_prior_score,bp_market_prob,bp_market_divergence,external_prior_n,external_prior_sources,delta_p
Cade Cunningham,PTS,STANDARD,OVER,27.5,27.83675457165187,0.33675457165186984,OVER,True,0.2208057965768278,0.4784,0.020016553940289117,3,"bettingpros,oddsapi,rotowire",0.0
Cade Cunningham,PTS,STANDARD,UNDER,27.5,27.83675457165187,0.33675457165186984,OVER,False,0.0,0.5216,-0.019824575350139595,0,"bettingpros,oddsapi,rotowire",0.0
LeBron James,PTS,STANDARD,OVER,20.5,20.376445412994524,-0.12355458700547572,UNDER,False,0.0,0.4724,0.062475588364443835,0,"bettingpros,oddsapi,rotowire",0.0
LeBron James,PTS,STANDARD,UNDER,20.5,20.376445412994524,-0.12355458700547572,UNDER,True,-0.08218394226254716,0.5276,-0.06321406798403795,3,"bettingpros,oddsapi,rotowire",0.0
Cade Cunningham,PRA,DEMON,OVER,54.5,44.77983326312226,-9.720166736877736,UNDER,False,0.0,0.68744963213032,0.5,0,"bettingpros,rotowire",0.0
Cade Cunningham,PRA,DEMON,OVER,50.5,44.77983326312226,-5.7201667368777365,UNDER,False,0.0,0.68744963213032,0.43330077363827374,0,"bettingpros,rotowire",0.0
Cade Cunningham,PRA,DEMON,OVER,49.5,44.77983326312226,-4.7201667368777365,UNDER,False,0.0,0.68744963213032,0.4137246400659797,0,"bettingpros,rotowire",0.0
Cade Cunningham,PA,DEMON,OVER,49.5,36.08517844212831,-13.41482155787169,UNDER,False,0.0,,0.0,0,"bettingpros,rotowire",0.0
Cade Cunningham,PA,DEMON,OVER,44.5,36.08517844212831,-8.41482155787169,UNDER,False,0.0,,0.0,0,"bettingpros,rotowire",0.0
Cade Cunningham,PR,DEMON,OVER,44.5,33.90827930624895,-10.59172069375105,UNDER,False,0.0,,0.0,0,"bettingpros,rotowire",0.0
Donovan Mitchell,PRA,DEMON,OVER,44.5,37.0,-7.5,UNDER,False,0.0,,0.0,0,bettingpros,0.0
Cade Cunningham,PRA,STANDARD,OVER,43.5,44.77983326312226,1.2798332631222635,OVER,True,0.6927490624998132,0.68744963213032,0.2714324452942305,2,"bettingpros,rotowire",0.0
Cade Cunningham,PRA,STANDARD,UNDER,43.5,44.77983326312226,1.2798332631222635,OVER,False,0.0,0.31255036786968,-0.2594676746002737,0,"bettingpros,rotowire",0.0
Cade Cunningham,PA,DEMON,OVER,43.5,36.08517844212831,-7.41482155787169,UNDER,False,0.0,,0.0,0,"bettingpros,rotowire",0.0
Cade Cunningham,PRA,GOBLIN,OVER,41.5,44.77983326312226,3.2798332631222635,OVER,True,0.9750902730766914,0.68744963213032,0.21981378463096762,2,"bettingpros,rotowire",0.0
Cade Cunningham,PR,DEMON,OVER,40.5,33.90827930624895,-6.59172069375105,UNDER,False,0.0,,0.0,0,"bettingpros,rotowire",0.0
Cade Cunningham,PTS,DEMON,OVER,39.5,27.83675457165187,-11.66324542834813,UNDER,False,0.0,0.4784,0.2958355105409693,0,"bettingpros,oddsapi,rotowire",0.0
Cade Cunningham,PR,DEMON,OVER,39.5,33.90827930624895,-5.59172069375105,UNDER,False,0.0,,0.0,0,"bettingpros,rotowire",0.0
Donovan Mitchell,PR,DEMON,OVER,39.5,31.8,-7.699999999999999,UNDER,False,0.0,,0.0,0,bettingpros,0.0
Donovan Mitchell,PRA,DEMON,OVER,39.5,37.0,-2.5,UNDER,False,0.0,,0.0,0,bettingpros,0.0
Evan Mobley,PRA,DEMON,OVER,39.5,29.900000000000002,-9.599999999999998,UNDER,False,0.0,,0.0,0,bettingpros,0.0
James Harden,PRA,DEMON,OVER,39.5,,,,False,0.0,,0.0,0,,0.0
Cade Cunningham,PRA,GOBLIN,OVER,39.5,44.77983326312226,5.2798332631222635,OVER,True,0.9982488918120683,0.68744963213032,0.16624724998041185,2,"bettingpros,rotowire",0.0
Donovan Mitchell,PA,DEMON,OVER,39.5,32.6,-6.899999999999999,UNDER,False,0.0,,0.0,0,bettingpros,0.0
Cade Cunningham,PA,STANDARD,OVER,37.5,36.08517844212831,-1.41482155787169,UNDER,False,0.0,,0.0,0,"bettingpros,rotowire",0.0
Cade Cunningham,PA,STANDARD,UNDER,37.5,36.08517844212831,-1.41482155787169,UNDER,True,-0.736695603420084,,0.0,2,"bettingpros,rotowire",0.0
Cade Cunningham,PA,GOBLIN,OVER,36.5,36.08517844212831,-0.41482155787169006,UNDER,False,0.0,,0.0,0,"bettingpros,rotowire",0.0
Donovan Mitchell,PRA,DEMON,OVER,35.5,37.0,1.5,OVER,True,0.7615941559557649,,0.0,1,bettingpros,0.0
Cade Cunningham,PTS,DEMON,OVER,34.5,27.83675457165187,-6.66324542834813,UNDER,False,0.0,0.4784,0.1984418111763223,0,"bettingpros,oddsapi,rotowire",0.0
Cade Cunningham,PA,GOBLIN,OVER,34.5,36.08517844212831,1.58517844212831,OVER,True,0.7844305045839742,,0.0,2,"bettingpros,rotowire",0.0
Donovan Mitchell,PTS,DEMON,OVER,34.5,25.224999999999998,-9.275000000000002,UNDER,False,0.0,0.5173,0.39890513170701014,0,"bettingpros,oddsapi",0.0
Donovan Mitchell,PA,DEMON,OVER,34.5,32.6,-1.8999999999999986,UNDER,False,0.0,,0.0,0,bettingpros,0.0
Donovan Mitchell,PR,DEMON,OVER,34.5,31.8,-2.6999999999999993,UNDER,False,0.0,,0.0,0,bettingpros,0.0
Evan Mobley,PR,DEMON,OVER,34.5,26.7,-7.800000000000001,UNDER,False,0.0,,0.0,0,bettingpros,0.0
Evan Mobley,PRA,DEMON,OVER,34.5,29.900000000000002,-4.599999999999998,UNDER,False,0.0,,0.0,0,bettingpros,0.0
Jalen Duren,PR,DEMON,OVER,34.5,24.63019352010843,-9.869806479891569,UNDER,False,0.0,,0.0,0,rotowire,0.0
Jalen Duren,PRA,DEMON,OVER,34.5,28.209661053931566,-6.2903389460684345,UNDER,False,0.0,,0.0,0,"bettingpros,rotowire",0.0
James Harden,PA,DEMON,OVER,34.5,,,,False,0.0,,0.0,0,,0.0
James Harden,PRA,DEMON,OVER,34.5,,,,False,0.0,,0.0,0,,0.0
Tobias Harris,PR,DEMON,OVER,34.5,20.70482779388426,-13.79517220611574,UNDER,False,0.0,,0.0,0,"bettingpros,rotowire",0.0
Tobias Harris,PRA,DEMON,OVER,34.5,22.91643112703865,-11.58356887296135,UNDER,False,0.0,,0.0,0,"bettingpros,rotowire",0.0
James Harden,PR,DEMON,OVER,34.5,,,,False,0.0,,0.0,0,,0.0
Cade Cunningham,PR,STANDARD,OVER,33.5,33.90827930624895,0.40827930624895004,OVER,True,0.2656579277164743,,0.0,2,"bettingpros,rotowire",0.0
Cade Cunningham,PR,STANDARD,UNDER,33.5,33.90827930624895,0.40827930624895004,OVER,False,0.0,,0.0,0,"bettingpros,rotowire",0.0
Donovan Mitchell,PRA,STANDARD,OVER,33.5,37.0,3.5,OVER,True,0.9813680813098666,,0.0,1,bettingpros,0.0
Donovan Mitchell,PRA,STANDARD,UNDER,33.5,37.0,3.5,OVER,False,0.0,,0.0,0,bettingpros,0.0
Cade Cunningham,PTS,DEMON,OVER,33.5,27.83675457165187,-5.66324542834813,UNDER,False,0.0,0.4784,0.17350902413897273,0,"bettingpros,oddsapi,rotowire",0.0
Cade Cunningham,PA,GOBLIN,OVER,33.5,36.08517844212831,2.58517844212831,OVER,True,0.9382773893750941,,0.0,2,"bettingpros,rotowire",0.0
Donovan Mitchell,PA,DEMON,OVER,33.5,32.6,-0.8999999999999986,UNDER,False,0.0,,0.0,0,bettingpros,0.0
Donovan Mitchell,PR,DEMON,OVER,33.5,31.8,-1.6999999999999993,UNDER,False,0.0,,0.0,0,bettingpros,0.0
Donovan Mitchell,PRA,GOBLIN,OVER,32.5,37.0,4.5,OVER,True,0.9950547536867305,,0.0,1,bettingpros,0.0
James Harden,PRA,DEMON,OVER,32.5,,,,False,0.0,,0.0,0,,0.0
James Harden,PRA,STANDARD,OVER,31.5,,,,False,0.0,,0.0,0,,0.0
James Harden,PRA,STANDARD,UNDER,31.5,,,,False,0.0,,0.0,0,,0.0
Donovan Mitchell,PRA,GOBLIN,OVER,31.5,37.0,5.5,OVER,True,0.9986940693248946,,0.0,1,bettingpros,0.0
Cade Cunningham,PR,GOBLIN,OVER,30.5,33.90827930624895,3.40827930624895,OVER,True,0.9789698046398202,,0.0,2,"bettingpros,rotowire",0.0
James Harden,PA,DEMON,OVER,30.5,,,,False,0.0,,0.0,0,,0.0
Tobias Harris,PR,DEMON,OVER,30.5,20.70482779388426,-9.79517220611574,UNDER,False,0.0,,0.0,0,"bettingpros,rotowire",0.0
Cade Cunningham,PR,GOBLIN,OVER,29.5,33.90827930624895,4.40827930624895,OVER,True,0.9944132404656376,,0.0,2,"bettingpros,rotowire",0.0
Evan Mobley,PR,DEMON,OVER,29.5,26.7,-2.8000000000000007,UNDER,False,0.0,,0.0,0,bettingpros,0.0
Evan Mobley,PRA,DEMON,OVER,29.5,29.900000000000002,0.40000000000000213,OVER,True,0.26052044583550393,,0.0,1,bettingpros,0.0
Jalen Duren,PR,DEMON,OVER,29.5,24.63019352010843,-4.869806479891569,UNDER,False,0.0,,0.0,0,rotowire,0.0
James Harden,PA,DEMON,OVER,29.5,,,,False,0.0,,0.0,0,,0.0
James Harden,PR,DEMON,OVER,29.5,,,,False,0.0,,0.0,0,,0.0
James Harden,PRA,GOBLIN,OVER,29.5,,,,False,0.0,,0.0,0,,0.0
Jarrett Allen,PR,DEMON,OVER,29.5,22.5,-7.0,UNDER,False,0.0,,0.0,0,bettingpros,0.0
Donovan Mitchell,PA,STANDARD,OVER,29.5,32.6,3.1000000000000014,OVER,True,0.9684470564892363,,0.0,1,bettingpros,0.0
Donovan Mitchell,PA,STANDARD,UNDER,29.5,32.6,3.1000000000000014,OVER,False,0.0,,0.0,0,bettingpros,0.0
Donovan Mitchell,PRA,GOBLIN,OVER,29.5,37.0,7.5,OVER,True,0.9999092042625951,,0.0,1,bettingpros,0.0
Tobias Harris,PRA,DEMON,OVER,29.5,22.91643112703865,-6.583568872961351,UNDER,False,0.0,,0.0,0,"bettingpros,rotowire",0.0
Tobias Harris,PR,DEMON,OVER,29.5,20.70482779388426,-8.79517220611574,UNDER,False,0.0,,0.0,0,"bettingpros,rotowire",0.0
Donovan Mitchell,PTS,DEMON,OVER,29.5,25.224999999999998,-4.275000000000002,UNDER,False,0.0,0.5173,0.2951937637667974,0,"bettingpros,oddsapi",0.0
Donovan Mitchell,PR,STANDARD,OVER,29.5,31.8,2.3000000000000007,OVER,True,0.910993289475426,,0.0,1,bettingpros,0.0
Donovan Mitchell,PR,STANDARD,UNDER,29.5,31.8,2.3000000000000007,OVER,False,0.0,,0.0,0,bettingpros,0.0
Tobias Harris,PA,DEMON,OVER,29.5,16.748056067223466,-12.751943932776534,UNDER,False,0.0,,0.0,0,"bettingpros,rotowire",0.0
Jarrett Allen,PRA,DEMON,OVER,29.5,24.1,-5.399999999999999,UNDER,False,0.0,,0.0,0,bettingpros,0.0
Jalen Duren,PRA,STANDARD,OVER,29.0,28.209661053931566,-0.7903389460684345,UNDER,False,0.0,,0.0,0,"bettingpros,rotowire",0.0
Jalen Duren,PRA,STANDARD,UNDER,29.0,28.209661053931566,-0.7903389460684345,UNDER,True,-0.4830022210801006,,0.0,2,"bettingpros,rotowire",0.0
Donovan Mitchell,PTS,DEMON,OVER,28.5,25.224999999999998,-3.275000000000002,UNDER,False,0.0,0.5173,0.2700220488763224,0,"bettingpros,oddsapi",0.0
Donovan Mitchell,PR,GOBLIN,OVER,28.5,31.8,3.3000000000000007,OVER,True,0.9757431300314515,,0.0,1,bettingpros,0.0
James Harden,PRA,GOBLIN,OVER,28.5,,,,False,0.0,,0.0,0,,0.0
Tobias Harris,PRA,DEMON,OVER,28.5,22.91643112703865,-5.583568872961351,UNDER,False,0.0,,0.0,0,"bettingpros,rotowire",0.0
Evan Mobley,PR,DEMON,OVER,28.5,26.7,-1.8000000000000007,UNDER,False,0.0,,0.0,0,bettingpros,0.0
Jalen Duren,PR,DEMON,OVER,28.5,24.63019352010843,-3.869806479891569,UNDER,False,0.0,,0.0,0,rotowire,0.0
