projection_id,source_projection_id,game_id,game_date,home,opp,player_key,player,team,stat,stat_raw,stat_is_canonical,line,direction,tier,more_allowed,less_allowed,main_line,alt_line,is_main,odds_type,start_time,updated_at
10493166|Jalen Johnson|PTS|STANDARD|22.5|OVER,10493166,136418,2026-03-16,1,ORL,jalen johnson,Jalen Johnson,ATL,PTS,POINTS,1,22.5,OVER,STANDARD,1,0,,,0,standard,2026-03-16T19:00:00.000-04:00,2026-03-11 16:30:38.748000+00:00
10493166|Jalen Johnson|PTS|STANDARD|22.5|UNDER,10493166,136418,2026-03-16,1,ORL,jalen johnson,Jalen Johnson,ATL,PTS,POINTS,1,22.5,UNDER,STANDARD,0,1,,,0,standard,2026-03-16T19:00:00.000-04:00,2026-03-11 16:30:38.748000+00:00
10528570|Paolo Banchero|FANTASY SCORE|DEMON|49.5|OVER,10528570,135136,2026-03-12,1,WAS,paolo banchero,Paolo Banchero,ORL,FANTASY SCORE,FANTASY SCORE,0,49.5,OVER,DEMON,1,0,,,0,demon,2026-03-12T19:00:00.000-04:00,2026-03-12 13:39:51.606000+00:00
10528567|Desmond Bane|FANTASY SCORE|DEMON|43|OVER,10528567,135136,2026-03-12,1,WAS,desmond bane,Desmond Bane,ORL,FANTASY SCORE,FANTASY SCORE,0,43.0,OVER,DEMON,1,0,,,0,demon,2026-03-12T19:00:00.000-04:00,2026-03-12 13:21:42.233000+00:00
10528569|Jalen Suggs|FANTASY SCORE|DEMON|41|OVER,10528569,135136,2026-03-12,1,WAS,jalen suggs,Jalen Suggs,ORL,FANTASY SCORE,FANTASY SCORE,0,41.0,OVER,DEMON,1,0,,,0,demon,2026-03-12T19:00:00.000-04:00,2026-03-12 13:39:51.618000+00:00
10528582|Paolo Banchero|FANTASY SCORE|GOBLIN|36.5|OVER,10528582,135136,2026-03-12,1,WAS,paolo banchero,Paolo Banchero,ORL,FANTASY SCORE,FANTASY SCORE,0,36.5,OVER,GOBLIN,1,0,,,0,goblin,2026-03-12T19:00:00.000-04:00,2026-03-12 13:12:19.767000+00:00
10528578|Wendell Carter|FANTASY SCORE|DEMON|34|OVER,10528578,135136,2026-03-12,1,WAS,wendell carter,Wendell Carter,ORL,FANTASY SCORE,FANTASY SCORE,0,34.0,OVER,DEMON,1,0,,,0,demon,2026-03-12T19:00:00.000-04:00,2026-03-12 20:30:50.645000+00:00
10528588|Alex Sarr|FANTASY SCORE|DEMON|33.5|OVER,10528588,135136,2026-03-12,0,ORL,alex sarr,Alex Sarr,WAS,FANTASY SCORE,FANTASY SCORE,0,33.5,OVER,DEMON,1,0,,,0,demon,2026-03-12T19:00:00.000-04:00,2026-03-12 15:10:27.479000+00:00
10528574|Desmond Bane|FANTASY SCORE|GOBLIN|31|OVER,10528574,135136,2026-03-12,1,WAS,desmond bane,Desmond Bane,ORL,FANTASY SCORE,FANTASY SCORE,0,31.0,OVER,GOBLIN,1,0,,,0,goblin,2026-03-12T19:00:00.000-04:00,2026-03-12 14:21:40.541000+00:00
10528599|Trae Young|FANTASY SCORE|DEMON|30.5|OVER,10528599,135136,2026-03-12,0,ORL,trae young,Trae Young,WAS,FANTASY SCORE,FANTASY SCORE,0,30.5,OVER,DEMON,1,0,,,0,demon,2026-03-12T19:00:00.000-04:00,2026-03-12 13:23:14.897000+00:00
10528583|Bilal Coulibaly|FANTASY SCORE|DEMON|30|OVER,10528583,135136,2026-03-12,0,ORL,bilal coulibaly,Bilal Coulibaly,WAS,FANTASY SCORE,FANTASY SCORE,0,30.0,OVER,DEMON,1,0,,,0,demon,2026-03-12T19:00:00.000-04:00,2026-03-12 21:27:31.616000+00:00
10528572|Tristan Silva|FANTASY SCORE|DEMON|29|OVER,10528572,135136,2026-03-12,1,WAS,tristan silva,Tristan Silva,ORL,FANTASY SCORE,FANTASY SCORE,0,29.0,OVER,DEMON,1,0,,,0,demon,2026-03-12T19:00:00.000-04:00,2026-03-12 19:04:48.093000+00:00
10528580|Jalen Suggs|FANTASY SCORE|GOBLIN|29|OVER,10528580,135136,2026-03-12,1,WAS,jalen suggs,Jalen Suggs,ORL,FANTASY SCORE,FANTASY SCORE,0,29.0,OVER,GOBLIN,1,0,,,0,goblin,2026-03-12T19:00:00.000-04:00,2026-03-12 16:04:19.573000+00:00
10528596|Will Riley|FANTASY SCORE|DEMON|28|OVER,10528596,135136,2026-03-12,0,ORL,will riley,Will Riley,WAS,FANTASY SCORE,FANTASY SCORE,0,28.0,OVER,DEMON,1,0,,,0,demon,2026-03-12T19:00:00.000-04:00,2026-03-12 17:30:28.010000+00:00
10528601|Tre Johnson|FANTASY SCORE|DEMON|25|OVER,10528601,135136,2026-03-12,0,ORL,tre johnson,Tre Johnson,WAS,FANTASY SCORE,FANTASY SCORE,0,25.0,OVER,DEMON,1,0,,,0,demon,2026-03-12T19:00:00.000-04:00,2026-03-12 16:56:11.038000+00:00
10528589|Wendell Carter|FANTASY SCORE|GOBLIN|23|OVER,10528589,135136,2026-03-12,1,WAS,wendell carter,Wendell Carter,ORL,FANTASY SCORE,FANTASY SCORE,0,23.0,OVER,GOBLIN,1,0,,,0,goblin,2026-03-12T19:00:00.000-04:00,2026-03-12 15:30:58.902000+00:00
10528576|Alex Sarr|FANTASY SCORE|GOBLIN|22.5|OVER,10528576,135136,2026-03-12,0,ORL,alex sarr,Alex Sarr,WAS,FANTASY SCORE,FANTASY SCORE,0,22.5,OVER,GOBLIN,1,0,,,0,goblin,2026-03-12T19:00:00.000-04:00,2026-03-12 13:27:35.772000+00:00
10528592|Bilal Coulibaly|FANTASY SCORE|GOBLIN|20|OVER,10528592,135136,2026-03-12,0,ORL,bilal coulibaly,Bilal Coulibaly,WAS,FANTASY SCORE,FANTASY SCORE,0,20.0,OVER,GOBLIN,1,0,,,0,goblin,2026-03-12T19:00:00.000-04:00,2026-03-12 21:27:31.707000+00:00
10528591|Trae Young|FANTASY SCORE|GOBLIN|19.5|OVER,10528591,135136,2026-03-12,0,ORL,trae young,Trae Young,WAS,FANTASY SCORE,FANTASY SCORE,0,19.5,OVER,GOBLIN,1,0,,,0,goblin,2026-03-12T19:00:00.000-04:00,2026-03-12 13:27:35.783000+00:00
10528581|Tristan Silva|FANTASY SCORE|GOBLIN|19|OVER,10528581,135136,2026-03-12,1,WAS,tristan silva,Tristan Silva,ORL,FANTASY SCORE,FANTASY SCORE,0,19.0,OVER,GOBLIN,1,0,,,0,goblin,2026-03-12T19:00:00.000-04:00,2026-03-12 19:04:48.001000+00:00
10528586|Will Riley|FANTASY SCORE|GOBLIN|18|OVER,10528586,135136,2026-03-12,0,ORL,will riley,Will Riley,WAS,FANTASY SCORE,FANTASY SCORE,0,18.0,OVER,GOBLIN,1,0,,,0,goblin,2026-03-12T19:00:00.000-04:00,2026-03-12 17:04:04.951000+00:00
10528593|Tre Johnson|FANTASY SCORE|GOBLIN|15|OVER,10528593,135136,2026-03-12,0,ORL,tre johnson,Tre Johnson,WAS,FANTASY SCORE,FANTASY SCORE,0,15.0,OVER,GOBLIN,1,0,,,0,goblin,2026-03-12T19:00:00.000-04:00,2026-03-12 16:56:10.973000+00:00
10528815|Devin Booker|FANTASY SCORE|DEMON|48.5|OVER,10528815,135137,2026-03-12,0,IND,devin booker,Devin Booker,PHX,FANTASY SCORE,FANTASY SCORE,0,48.5,OVER,DEMON,1,0,,,0,demon,2026-03-12T19:00:00.000-04:00,2026-03-12 14:22:43.534000+00:00
10528811|Jalen Green|FANTASY SCORE|DEMON|38|OVER,10528811,135137,2026-03-12,0,IND,jalen green,Jalen Green,PHX,FANTASY SCORE,FANTASY SCORE,0,38.0,OVER,DEMON,1,0,,,0,demon,2026-03-12T19:00:00.000-04:00,2026-03-12 15:59:29.232000+00:00
10528806|Devin Booker|FANTASY SCORE|GOBLIN|35.5|OVER,10528806,135137,2026-03-12,0,IND,devin booker,Devin Booker,PHX,FANTASY SCORE,FANTASY SCORE,0,35.5,OVER,GOBLIN,1,0,,,0,goblin,2026-03-12T19:00:00.000-04:00,2026-03-12 13:46:34.238000+00:00
10528818|Collin Gillespie|FANTASY SCORE|DEMON|35.5|OVER,10528818,135137,2026-03-12,0,IND,collin gillespie,Collin Gillespie,PHX,FANTASY SCORE,FANTASY SCORE,0,35.5,OVER,DEMON,1,0,,,0,demon,2026-03-12T19:00:00.000-04:00,2026-03-12 19:10:37.289000+00:00
10528821|Grayson Allen|FANTASY SCORE|DEMON|33.5|OVER,10528821,135137,2026-03-12,0,IND,grayson allen,Grayson Allen,PHX,FANTASY SCORE,FANTASY SCORE,0,33.5,OVER,DEMON,1,0,,,0,demon,2026-03-12T19:00:00.000-04:00,2026-03-12 17:10:54.087000+00:00
10528820|Oso Ighodaro|FANTASY SCORE|DEMON|30.5|OVER,10528820,135137,2026-03-12,0,IND,oso ighodaro,Oso Ighodaro,PHX,FANTASY SCORE,FANTASY SCORE,0,30.5,OVER,DEMON,1,0,,,0,demon,2026-03-12T19:00:00.000-04:00,2026-03-12 20:11:02.777000+00:00
10528816|Royce O'Neale|FANTASY SCORE|DEMON|28|OVER,10528816,135137,2026-03-12,0,IND,royce o'neale,Royce O'Neale,PHX,FANTASY SCORE,FANTASY SCORE,0,28.0,OVER,DEMON,1,0,,,0,demon,2026-03-12T19:00:00.000-04:00,2026-03-12 20:20:32.677000+00:00
10528823|Jalen Green|FANTASY SCORE|GOBLIN|26|OVER,10528823,135137,2026-03-12,0,IND,jalen green,Jalen Green,PHX,FANTASY SCORE,FANTASY SCORE,0,26.0,OVER,GOBLIN,1,0,,,0,goblin,2026-03-12T19:00:00.000-04:00,2026-03-12 14:14:11.156000+00:00
10528804|Collin Gillespie|FANTASY SCORE|GOBLIN|24.5|OVER,10528804,135137,2026-03-12,0,IND,collin gillespie,Collin Gillespie,PHX,FANTASY SCORE,FANTASY SCORE,0,24.5,OVER,GOBLIN,1,0,,,0,goblin,2026-03-12T19:00:00.000-04:00,2026-03-12 19:10:37.191000+00:00
10528809|Grayson Allen|FANTASY SCORE|GOBLIN|22.5|OVER,10528809,135137,2026-03-12,0,IND,grayson allen,Grayson Allen,PHX,FANTASY SCORE,FANTASY SCORE,0,22.5,OVER,GOBLIN,1,0,,,0,goblin,2026-03-12T19:00:00.000-04:00,2026-03-12 17:10:54.012000+00:00
10528828|Oso Ighodaro|FANTASY SCORE|GOBLIN|20.5|OVER,10528828,135137,2026-03-12,0,IND,oso ighodaro,Oso Ighodaro,PHX,FANTASY SCORE,FANTASY SCORE,0,20.5,OVER,GOBLIN,1,0,,,0,goblin,2026-03-12T19:00:00.000-04:00,2026-03-12 20:35:44.260000+00:00
10528824|Royce O'Neale|FANTASY SCORE|GOBLIN|18|OVER,10528824,135137,2026-03-12,0,IND,royce o'neale,Royce O'Neale,PHX,FANTASY SCORE,FANTASY SCORE,0,18.0,OVER,GOBLIN,1,0,,,0,goblin,2026-03-12T19:00:00.000-04:00,2026-03-12 13:56:35.799000+00:00
10529037|Cade Cunningham|FANTASY SCORE|DEMON|56.5|OVER,10529037,135138,2026-03-12,1,PHI,cade cunningham,Cade Cunningham,DET,FANTASY SCORE,FANTASY SCORE,0,56.5,OVER,DEMON,1,0,,,0,demon,2026-03-12T19:00:00.000-04:00,2026-03-12 14:22:43.544000+00:00
10529053|Jalen Duren|FANTASY SCORE|DEMON|44.5|OVER,10529053,135138,2026-03-12,1,PHI,jalen duren,Jalen Duren,DET,FANTASY SCORE,FANTASY SCORE,0,44.5,OVER,DEMON,1,0,,,0,demon,2026-03-12T19:00:00.000-04:00,2026-03-12 19:22:46.835000+00:00
10529044|Cade Cunningham|FANTASY SCORE|GOBLIN|43.5|OVER,10529044,135138,2026-03-12,1,PHI,cade cunningham,Cade Cunningham,DET,FANTASY SCORE,FANTASY SCORE,0,43.5,OVER,GOBLIN,1,0,,,0,goblin,2026-03-12T19:00:00.000-04:00,2026-03-12 15:33:25.273000+00:00
10529073|VJ Edgecombe|FANTASY SCORE|DEMON|42|OVER,10529073,135138,2026-03-12,0,DET,vj edgecombe,VJ Edgecombe,PHI,FANTASY SCORE,FANTASY SCORE,0,42.0,OVER,DEMON,1,0,,,0,demon,2026-03-12T19:00:00.000-04:00,2026-03-12 15:37:40.006000+00:00
10529074|Quentin Grimes|FANTASY SCORE|DEMON|38|OVER,10529074,135138,2026-03-12,0,DET,quentin grimes,Quentin Grimes,PHI,FANTASY SCORE,FANTASY SCORE,0,38.0,OVER,DEMON,1,0,,,0,demon,2026-03-12T19:00:00.000-04:00,2026-03-12 19:47:57.533000+00:00
10529061|Cameron Payne|FANTASY SCORE|DEMON|33.5|OVER,10529061,135138,2026-03-12,0,DET,cameron payne,Cameron Payne,PHI,FANTASY SCORE,FANTASY SCORE,0,33.5,OVER,DEMON,1,0,,,0,demon,2026-03-12T19:00:00.000-04:00,2026-03-12 16:06:35.273000+00:00
10529043|Jalen Duren|FANTASY SCORE|GOBLIN|31.5|OVER,10529043,135138,2026-03-12,1,PHI,jalen duren,Jalen Duren,DET,FANTASY SCORE,FANTASY SCORE,0,31.5,OVER,GOBLIN,1,0,,,0,goblin,2026-03-12T19:00:00.000-04:00,2026-03-12 19:22:46.747000+00:00
10529066|VJ Edgecombe|FANTASY SCORE|GOBLIN|30|OVER,10529066,135138,2026-03-12,0,DET,vj edgecombe,VJ Edgecombe,PHI,FANTASY SCORE,FANTASY SCORE,0,30.0,OVER,GOBLIN,1,0,,,0,goblin,2026-03-12T19:00:00.000-04:00,2026-03-12 14:13:01.855000+00:00
10529052|Tobias Harris|FANTASY SCORE|DEMON|29|OVER,10529052,135138,2026-03-12,1,PHI,tobias harris,Tobias Harris,DET,FANTASY SCORE,FANTASY SCORE,0,29.0,OVER,DEMON,1,0,,,0,demon,2026-03-12T19:00:00.000-04:00,2026-03-12 19:14:37.608000+00:00
10529050|Isaiah Stewart|FANTASY SCORE|DEMON|27|OVER,10529050,135138,2026-03-12,1,PHI,isaiah stewart,Isaiah Stewart,DET,FANTASY SCORE,FANTASY SCORE,0,27.0,OVER,DEMON,1,0,,,0,demon,2026-03-12T19:00:00.000-04:00,2026-03-12 13:28:47.674000+00:00
10529046|Duncan Robinson|FANTASY SCORE|DEMON|26|OVER,10529046,135138,2026-03-12,1,PHI,duncan robinson,Duncan Robinson,DET,FANTASY SCORE,FANTASY SCORE,0,26.0,OVER,DEMON,1,0,,,0,demon,2026-03-12T19:00:00.000-04:00,2026-03-12 21:01:04.934000+00:00
10529063|Quentin Grimes|FANTASY SCORE|GOBLIN|26|OVER,10529063,135138,2026-03-12,0,DET,quentin grimes,Quentin Grimes,PHI,FANTASY SCORE,FANTASY SCORE,0,26.0,OVER,GOBLIN,1,0,,,0,goblin,2026-03-12T19:00:00.000-04:00,2026-03-12 17:27:20.769000+00:00
10529068|Dominick Barlow|FANTASY SCORE|DEMON|26|OVER,10529068,135138,2026-03-12,0,DET,dominick barlow,Dominick Barlow,PHI,FANTASY SCORE,FANTASY SCORE,0,26.0,OVER,DEMON,1,0,,,0,demon,2026-03-12T19:00:00.000-04:00,2026-03-12 15:15:23.365000+00:00
10529049|Ronald Holland|FANTASY SCORE|DEMON|24|OVER,10529049,135138,2026-03-12,1,PHI,ronald holland,Ronald Holland,DET,FANTASY SCORE,FANTASY SCORE,0,24.0,OVER,DEMON,1,0,,,0,demon,2026-03-12T19:00:00.000-04:00,2026-03-12 19:06:53.692000+00:00
10529070|Cameron Payne|FANTASY SCORE|GOBLIN|22.5|OVER,10529070,135138,2026-03-12,0,DET,cameron payne,Cameron Payne,PHI,FANTASY SCORE,FANTASY SCORE,0,22.5,OVER,GOBLIN,1,0,,,0,goblin,2026-03-12T19:00:00.000-04:00,2026-03-12 18:43:12.540000+00:00
10529055|Marcus Sasser|FANTASY SCORE|DEMON|22|OVER,10529055,135138,2026-03-12,1,PHI,marcus sasser,Marcus Sasser,DET,FANTASY SCORE,FANTASY SCORE,0,22.0,OVER,DEMON,1,0,,,0,demon,2026-03-12T19:00:00.000-04:00,2026-03-12 13:39:51.637000+00:00
10529064|Tobias Harris|FANTASY SCORE|GOBLIN|19|OVER,10529064,135138,2026-03-12,1,PHI,tobias harris,Tobias Harris,DET,FANTASY SCORE,FANTASY SCORE,0,19.0,OVER,GOBLIN,1,0,,,0,goblin,2026-03-12T19:00:00.000-04:00,2026-03-12 20:15:50.218000+00:00
10529041|Isaiah Stewart|FANTASY SCORE|GOBLIN|17|OVER,10529041,135138,2026-03-12,1,PHI,isaiah stewart,Isaiah Stewart,DET,FANTASY SCORE,FANTASY SCORE,0,17.0,OVER,GOBLIN,1,0,,,0,goblin,2026-03-12T19:00:00.000-04:00,2026-03-12 16:08:24.775000+00:00
10529039|Duncan Robinson|FANTASY SCORE|GOBLIN|16|OVER,10529039,135138,2026-03-12,1,PHI,duncan robinson,Duncan Robinson,DET,FANTASY SCORE,FANTASY SCORE,0,16.0,OVER,GOBLIN,1,0,,,0,goblin,2026-03-12T19:00:00.000-04:00,2026-03-12 21:01:04.868000+00:00
10529058|Dominick Barlow|FANTASY SCORE|GOBLIN|16|OVER,10529058,135138,2026-03-12,0,DET,dominick barlow,Dominick Barlow,PHI,FANTASY SCORE,FANTASY SCORE,0,16.0,OVER,GOBLIN,1,0,,,0,goblin,2026-03-12T19:00:00.000-04:00,2026-03-12 16:02:05.324000+00:00
10529060|Ronald Holland|FANTASY SCORE|GOBLIN|14|OVER,10529060,135138,2026-03-12,1,PHI,ronald holland,Ronald Holland,DET,FANTASY SCORE,FANTASY SCORE,0,14.0,OVER,GOBLIN,1,0,,,0,goblin,2026-03-12T19:00:00.000-04:00,2026-03-12 19:06:53.601000+00:00
10529045|Marcus Sasser|FANTASY SCORE|GOBLIN|12|OVER,10529045,135138,2026-03-12,1,PHI,marcus sasser,Marcus Sasser,DET,FANTASY SCORE,FANTASY SCORE,0,12.0,OVER,GOBLIN,1,0,,,0,goblin,2026-03-12T19:00:00.000-04:00,2026-03-12 19:01:42.750000+00:00
10518417|Paolo Banchero|PRA|DEMON|49.5|OVER,10518417,135136,2026-03-12,1,WAS,paolo banchero,Paolo Banchero,ORL,PRA,PTS+REBS+ASTS,1,49.5,OVER,DEMON,1,0,,,0,demon,2026-03-12T19:00:00.000-04:00,2026-03-12 07:14:34.205000+00:00
10518413|Paolo Banchero|PR|DEMON|44.5|OVER,10518413,135136,2026-03-12,1,WAS,paolo banchero,Paolo Banchero,ORL,PR,PTS+REBS,1,44.5,OVER,DEMON,1,0,,,0,demon,2026-03-12T19:00:00.000-04:00,2026-03-12 06:20:39.246000+00:00
10518415|Paolo Banchero|PRA|DEMON|44.5|OVER,10518415,135136,2026-03-12,1,WAS,paolo banchero,Paolo Banchero,ORL,PRA,PTS+REBS+ASTS,1,44.5,OVER,DEMON,1,0,,,0,demon,2026-03-12T19:00:00.000-04:00,2026-03-12 06:36:30.608000+00:00
10528565|Paolo Banchero|FANTASY SCORE|STANDARD|42.5|OVER,10528565,135136,2026-03-12,1,WAS,paolo banchero,Paolo Banchero,ORL,FANTASY SCORE,FANTASY SCORE,0,42.5,OVER,STANDARD,1,0,,,0,standard,2026-03-12T19:00:00.000-04:00,2026-03-12 13:06:29.890000+00:00
10528565|Paolo Banchero|FANTASY SCORE|STANDARD|42.5|UNDER,10528565,135136,2026-03-12,1,WAS,paolo banchero,Paolo Banchero,ORL,FANTASY SCORE,FANTASY SCORE,0,42.5,UNDER,STANDARD,0,1,,,0,standard,2026-03-12T19:00:00.000-04:00,2026-03-12 13:06:29.890000+00:00
10518375|Desmond Bane|PRA|DEMON|39.5|OVER,10518375,135136,2026-03-12,1,WAS,desmond bane,Desmond Bane,ORL,PRA,PTS+REBS+ASTS,1,39.5,OVER,DEMON,1,0,,,0,demon,2026-03-12T19:00:00.000-04:00,2026-03-12 06:42:18.895000+00:00
10518409|Paolo Banchero|PA|DEMON|39.5|OVER,10518409,135136,2026-03-12,1,WAS,paolo banchero,Paolo Banchero,ORL,PA,PTS+ASTS,1,39.5,OVER,DEMON,1,0,,,0,demon,2026-03-12T19:00:00.000-04:00,2026-03-12 16:22:22.101000+00:00
10518411|Paolo Banchero|PR|DEMON|39.5|OVER,10518411,135136,2026-03-12,1,WAS,paolo banchero,Paolo Banchero,ORL,PR,PTS+REBS,1,39.5,OVER,DEMON,1,0,,,0,demon,2026-03-12T19:00:00.000-04:00,2026-03-12 09:01:17.202000+00:00
10518145|Paolo Banchero|PRA|STANDARD|38.5|OVER,10518145,135136,2026-03-12,1,WAS,paolo banchero,Paolo Banchero,ORL,PRA,PTS+REBS+ASTS,1,38.5,OVER,STANDARD,1,0,,,0,standard,2026-03-12T19:00:00.000-04:00,2026-03-12 12:52:52.604000+00:00
10518145|Paolo Banchero|PRA|STANDARD|38.5|UNDER,10518145,135136,2026-03-12,1,WAS,paolo banchero,Paolo Banchero,ORL,PRA,PTS+REBS+ASTS,1,38.5,UNDER,STANDARD,0,1,,,0,standard,2026-03-12T19:00:00.000-04:00,2026-03-12 12:52:52.604000+00:00
10528563|Desmond Bane|FANTASY SCORE|STANDARD|36.5|OVER,10528563,135136,2026-03-12,1,WAS,desmond bane,Desmond Bane,ORL,FANTASY SCORE,FANTASY SCORE,0,36.5,OVER,STANDARD,1,0,,,0,standard,2026-03-12T19:00:00.000-04:00,2026-03-12 13:07:06.406000+00:00
10528563|Desmond Bane|FANTASY SCORE|STANDARD|36.5|UNDER,10528563,135136,2026-03-12,1,WAS,desmond bane,Desmond Bane,ORL,FANTASY SCORE,FANTASY SCORE,0,36.5,UNDER,STANDARD,0,1,,,0,standard,2026-03-12T19:00:00.000-04:00,2026-03-12 13:07:06.406000+00:00
10519686|Desmond Bane|PRA|DEMON|35.5|OVER,10519686,135136,2026-03-12,1,WAS,desmond bane,Desmond Bane,ORL,PRA,PTS+REBS+ASTS,1,35.5,OVER,DEMON,1,0,,,0,demon,2026-03-12T19:00:00.000-04:00,2026-03-12 13:54:45.672000+00:00
10523898|Paolo Banchero|PRA|GOBLIN|35.5|OVER,10523898,135136,2026-03-12,1,WAS,paolo banchero,Paolo Banchero,ORL,PRA,PTS+REBS+ASTS,1,35.5,OVER,GOBLIN,1,0,,,0,goblin,2026-03-12T19:00:00.000-04:00,2026-03-12 14:01:27.122000+00:00
10518369|Desmond Bane|PA|DEMON|34.5|OVER,10518369,135136,2026-03-12,1,WAS,desmond bane,Desmond Bane,ORL,PA,PTS+ASTS,1,34.5,OVER,DEMON,1,0,,,0,demon,2026-03-12T19:00:00.000-04:00,2026-03-12 12:32:41.114000+00:00
10518372|Desmond Bane|PR|DEMON|34.5|OVER,10518372,135136,2026-03-12,1,WAS,desmond bane,Desmond Bane,ORL,PR,PTS+REBS,1,34.5,OVER,DEMON,1,0,,,0,demon,2026-03-12T19:00:00.000-04:00,2026-03-12 17:44:09.969000+00:00
10518374|Desmond Bane|PRA|DEMON|34.5|OVER,10518374,135136,2026-03-12,1,WAS,desmond bane,Desmond Bane,ORL,PRA,PTS+REBS+ASTS,1,34.5,OVER,DEMON,1,0,,,0,demon,2026-03-12T19:00:00.000-04:00,2026-03-12 06:28:14.902000+00:00
10518393|Jalen Suggs|PRA|DEMON|34.5|OVER,10518393,135136,2026-03-12,1,WAS,jalen suggs,Jalen Suggs,ORL,PRA,PTS+REBS+ASTS,1,34.5,OVER,DEMON,1,0,,,0,demon,2026-03-12T19:00:00.000-04:00,2026-03-12 17:38:15.409000+00:00
10518408|Paolo Banchero|PA|DEMON|34.5|OVER,10518408,135136,2026-03-12,1,WAS,paolo banchero,Paolo Banchero,ORL,PA,PTS+ASTS,1,34.5,OVER,DEMON,1,0,,,0,demon,2026-03-12T19:00:00.000-04:00,2026-03-12 06:25:31.280000+00:00
10518418|Paolo Banchero|PRA|GOBLIN|34.5|OVER,10518418,135136,2026-03-12,1,WAS,paolo banchero,Paolo Banchero,ORL,PRA,PTS+REBS+ASTS,1,34.5,OVER,GOBLIN,1,0,,,0,goblin,2026-03-12T19:00:00.000-04:00,2026-03-12 06:35:07.442000+00:00
10519491|Paolo Banchero|PTS|DEMON|34.5|OVER,10519491,135136,2026-03-12,1,WAS,paolo banchero,Paolo Banchero,ORL,PTS,POINTS,1,34.5,OVER,DEMON,1,0,,,0,demon,2026-03-12T19:00:00.000-04:00,2026-03-12 07:00:08.860000+00:00
10528564|Jalen Suggs|FANTASY SCORE|STANDARD|34.5|OVER,10528564,135136,2026-03-12,1,WAS,jalen suggs,Jalen Suggs,ORL,FANTASY SCORE,FANTASY SCORE,0,34.5,OVER,STANDARD,1,0,,,0,standard,2026-03-12T19:00:00.000-04:00,2026-03-12 13:08:11.064000+00:00
10528564|Jalen Suggs|FANTASY SCORE|STANDARD|34.5|UNDER,10528564,135136,2026-03-12,1,WAS,jalen suggs,Jalen Suggs,ORL,FANTASY SCORE,FANTASY SCORE,0,34.5,UNDER,STANDARD,0,1,,,0,standard,2026-03-12T19:00:00.000-04:00,2026-03-12 13:08:11.064000+00:00
10518144|Paolo Banchero|PR|STANDARD|33.5|OVER,10518144,135136,2026-03-12,1,WAS,paolo banchero,Paolo Banchero,ORL,PR,PTS+REBS,1,33.5,OVER,STANDARD,1,0,,,0,standard,2026-03-12T19:00:00.000-04:00,2026-03-12 21:20:33.434000+00:00
10518144|Paolo Banchero|PR|STANDARD|33.5|UNDER,10518144,135136,2026-03-12,1,WAS,paolo banchero,Paolo Banchero,ORL,PR,PTS+REBS,1,33.5,UNDER,STANDARD,0,1,,,0,standard,2026-03-12T19:00:00.000-04:00,2026-03-12 21:20:33.434000+00:00
10537435|Paolo Banchero|PA|DEMON|33.5|OVER,10537435,135136,2026-03-12,1,WAS,paolo banchero,Paolo Banchero,ORL,PA,PTS+ASTS,1,33.5,OVER,DEMON,1,0,,,0,demon,2026-03-12T19:00:00.000-04:00,2026-03-12 21:21:26.180000+00:00
10518120|Desmond Bane|PRA|STANDARD|31.5|OVER,10518120,135136,2026-03-12,1,WAS,desmond bane,Desmond Bane,ORL,PRA,PTS+REBS+ASTS,1,31.5,OVER,STANDARD,1,0,,,0,standard,2026-03-12T19:00:00.000-04:00,2026-03-12 16:45:51.199000+00:00
10518120|Desmond Bane|PRA|STANDARD|31.5|UNDER,10518120,135136,2026-03-12,1,WAS,desmond bane,Desmond Bane,ORL,PRA,PTS+REBS+ASTS,1,31.5,UNDER,STANDARD,0,1,,,0,standard,2026-03-12T19:00:00.000-04:00,2026-03-12 16:45:51.199000+00:00
10537424|Desmond Bane|PA|DEMON|31.5|OVER,10537424,135136,2026-03-12,1,WAS,desmond bane,Desmond Bane,ORL,PA,PTS+ASTS,1,31.5,OVER,DEMON,1,0,,,0,demon,2026-03-12T19:00:00.000-04:00,2026-03-12 21:06:27.610000+00:00
10537426|Desmond Bane|PR|DEMON|31.5|OVER,10537426,135136,2026-03-12,1,WAS,desmond bane,Desmond Bane,ORL,PR,PTS+REBS,1,31.5,OVER,DEMON,1,0,,,0,demon,2026-03-12T19:00:00.000-04:00,2026-03-12 21:06:26.410000+00:00
10518115|Desmond Bane|PTS|DEMON|29.5|OVER,10518115,135136,2026-03-12,1,WAS,desmond bane,Desmond Bane,ORL,PTS,POINTS,1,29.5,OVER,DEMON,1,0,,,0,demon,2026-03-12T19:00:00.000-04:00,2026-03-12 06:41:55.007000+00:00
10518141|Paolo Banchero|PTS|DEMON|29.5|OVER,10518141,135136,2026-03-12,1,WAS,paolo banchero,Paolo Banchero,ORL,PTS,POINTS,1,29.5,OVER,DEMON,1,0,,,0,demon,2026-03-12T19:00:00.000-04:00,2026-03-12 06:09:01.178000+00:00
