projection_id,source_projection_id,game_id,game_date,home,opp,player_key,player,team,stat,stat_raw,stat_is_canonical,line,direction,tier,more_allowed,less_allowed,main_line,alt_line,is_main,odds_type,start_time,updated_at,spread,home_team,away_team,home_spread,away_spread,game_spread,spread_source,spread_ok,spread_reason,role_metrics_age,role_metrics_minutes_projection,role_metrics_ts_pct,role_metrics_rts_pct,role_metrics_sq,role_metrics_three_par,role_metrics_r3par,role_metrics_ftr,role_metrics_orb_pct,role_metrics_rorb_pct,role_metrics_raorb,role_metrics_drb_pct,role_metrics_rdrb_pct,role_metrics_radrb,role_metrics_stl_pct,role_metrics_radtov,role_metrics_blk_pct,role_metrics_tov_pct,role_metrics_usg_pct,role_metrics_ws,role_metrics_ctov_pct,role_metrics_bc,role_metrics_load,role_metrics_pr,role_metrics_port,role_metrics_role_awareness,role_metrics_usage_projection,role_metrics_starter_flag,role_metrics_rotation_tier,role_metrics_depth_role,role_metrics_obpm,role_metrics_dbpm,role_metrics_bpm,role_metrics_plus_minus,role_metrics_vorp,role_metrics_odarko,role_metrics_ddarko,role_metrics_darko,role_metrics_copm,role_metrics_cdpm,role_metrics_cpm,role_metrics_odrip,role_metrics_ddrip,role_metrics_drip_total,role_metrics_drip_offense,role_metrics_drip_defense,role_metrics_source_rank,role_metrics_snapshot_id,role_metrics_source_url,role_metrics_fetched_at,role_metrics_html_sha256,minutes_s,p,p_role,p_adj,p_close,p_close_raw,p_close_role,q_blowout,minutes_s_blowout,under_blowout_sens_mult,under_blowout_sens_eligible,minutes_s_close,is_star,fragility,fragility_abs,fragility_gap_core,fragility_gap_usage,fragility_gap_dir,usage_dep,usage_dep_capped,usage_dep_cap,usage_dep_eff,usage_risk_gate,usage_baseline,usage_producer_mult,usage_pressure_mult,usage_target_rate,usage_burden_ratio,usage_dep_raw,p_adj_pre_under_relief,under_relief_haircut,under_relief_haircut_min,under_relief_factor,under_relief_applied,min_mean,min_std,rate_mean,rate_std,rate_mean_ctx,rate_mean_ctx_raw,rate_std_ctx,role_metrics_mult,role_ctx_mult,role_ctx_mult_raw,role_ctx_rate_mult,role_ctx_rate_mult_raw,role_ctx_rate_clamp_lo,role_ctx_rate_clamp_hi,role_ctx_rate_softcap_k,role_ctx_sigma_mult,role_ctx_reason,games_used,role_ctx_outs_used,role_ctx_outs,role_ctx_bump,role_ctx_by_out,role_ctx_components,role_ctx_component_mults,role_ctx_component_reasons,role_metrics_score,data_health_flag,role_ctx_team,role_ctx_stat,role_ctx_min_games,p_for_cal,p_cal_src,p_cal,p_for_cal_src,telemetry_cal_key,telemetry_k_shrink,telemetry_under_penalty,telemetry_mult,telemetry_bucket_mult,telemetry_cal_applied,external_prior_score,external_prior_n,external_prior_sources,external_prior_epsilon,rotowire_game_spread
10620898|Devin Booker|PRA|DEMON|39.5|OVER,10620898,136420,2026-03-16,0,BOS,devin booker,Devin Booker,PHX,PRA,PTS+REBS+ASTS,1,39.5,OVER,DEMON,1,0,,,0,demon,2026-03-16T19:30:00.000-04:00,2026-03-16 03:21:17.367000+00:00,8.5,BOS,PHX,-8.5,8.5,8.5,rotowire,True,ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.2827217278272173,0.2827217278272173,0.2117512980710531,0.23800251736205622,0.2698230176982302,0.2698230176982302,0.2536075102675727,0.76,0.76,False,0.35,False,0.1198612376053602,0.028527276284207287,0.026251219291003103,0.028527276284207287,0.028527276284207287,1.1016000000000001,1.1016000000000001,1.12,1.0867029057954745,0.8533750570420707,1.0,1.02,1.08,1.2351469668542838,1.1751424029675088,1.1016000000000001,0.2117512980710531,0.07097042975616416,0.06,1.0,False,31.98,8.432057874564192,1.0510615255948976,0.19893672987121647,1.0510615255948976,1.0510615255948976,0.19893672987121647,1.0,1.0,1.0,1.0,1.0,0.94,1.08,1.1,1.0,no_outs,50,0,[],0.0,[],"[""PTS"", ""REB"", ""AST""]","[1.0, 1.0, 1.0]","[""no_outs"", ""no_outs"", ""no_outs""]",0.0,OK,,,,0.2117512980710531,p_adj,0.37587,p_adj,PRA|OVER,1.0,1.0,1.0,1.0,True,0.0,0,,0.03,8.5
10620979|Jayson Tatum|PRA|DEMON|39.5|OVER,10620979,136420,2026-03-16,1,PHX,jayson tatum,Jayson Tatum,BOS,PRA,PTS+REBS+ASTS,1,39.5,OVER,DEMON,1,0,,,0,demon,2026-03-16T19:30:00.000-04:00,2026-03-16 03:37:30.552000+00:00,-8.5,BOS,PHX,-8.5,8.5,-8.5,rotowire,True,ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.12273772622737726,0.12273772622737726,0.09192739818999743,0.10455882317313975,0.11853814618538146,0.11853814618538146,0.25360751026757267,0.76,0.76,False,0.35,False,0.13317810704454183,0.013924946145003727,0.01263142498314232,0.013924946145003727,0.013924946145003727,1.1340000000000001,1.12,1.12,1.1024050068450486,0.8533750570420704,1.0,1.05,1.08,1.377906976744186,1.1924991264510618,1.1340000000000001,0.09192739818999743,0.030810328037379833,0.06,1.0,False,28.666666666666668,2.3570226039551585,1.1554783950617284,0.1625661921276772,1.1554783950617284,1.1554783950617284,0.1625661921276772,1.0,1.0,1.0,1.0,1.0,0.94,1.08,1.1,1.0,combo_no_effect,3,0,"[""john tonje"", ""nikola vucevic""]",0.0,[],"[""PTS"", ""REB"", ""AST""]","[1.0, 1.0, 1.0]","[""ok"", ""ok"", ""ok""]",0.0,OK,,,,0.09192739818999743,p_adj,0.266949,p_adj,PRA|OVER,1.0,1.0,1.0,1.0,True,0.0,0,,0.03,-8.5
10621331|Devin Booker|PA|DEMON|39.5|OVER,10621331,136420,2026-03-16,0,BOS,devin booker,Devin Booker,PHX,PA,PTS+ASTS,1,39.5,OVER,DEMON,1,0,,,0,demon,2026-03-16T19:30:00.000-04:00,2026-03-16 06:10:29.649000+00:00,8.5,BOS,PHX,-8.5,8.5,8.5,rotowire,True,ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.16193380661933807,0.16193380661933807,0.12128425366085607,0.13833868759769694,0.15683431656834318,0.15683431656834318,0.2536075102675727,0.76,0.76,False,0.35,False,0.13396905260340536,0.01853310291586192,0.017054433936840863,0.01853310291586192,0.01853310291586192,1.1016000000000001,1.1016000000000001,1.12,1.0867029057954745,0.8533750570420707,1.0,1.02,1.08,1.2351469668542838,1.3404718613283604,1.1016000000000001,0.12128425366085607,0.040649552958481994,0.06,1.0,False,31.98,8.432057874564192,0.9214270008102197,0.2057306780000411,0.9214270008102197,0.9214270008102197,0.2057306780000411,1.0,1.0,1.0,1.0,1.0,0.94,1.08,1.1,1.0,no_outs,50,0,[],0.0,[],"[""PTS"", ""AST""]","[1.0, 1.0]","[""no_outs"", ""no_outs""]",0.0,OK,,,,0.12128425366085607,p_adj,0.266949,p_adj,PA|OVER,1.0,1.0,1.0,1.0,True,0.0,0,,0.03,8.5
10621334|Devin Booker|PR|DEMON|39.5|OVER,10621334,136420,2026-03-16,0,BOS,devin booker,Devin Booker,PHX,PR,PTS+REBS,1,39.5,OVER,DEMON,1,0,,,0,demon,2026-03-16T19:30:00.000-04:00,2026-03-16 18:56:13.556000+00:00,8.5,BOS,PHX,-8.5,8.5,8.5,rotowire,True,ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.11193880611938806,0.11193880611938806,0.08383928494802616,0.09688559026207846,0.10983901609839015,0.10983901609839015,0.2536075102675727,0.76,0.76,False,0.35,False,0.14633195562234927,0.014177457894675581,0.013046305314052306,0.014177457894675581,0.014177457894675581,1.1016000000000001,1.1016000000000001,1.12,1.0867029057954745,0.8533750570420707,1.0,1.02,1.08,1.2351469668542838,1.4268224318773983,1.1016000000000001,0.08383928494802616,0.0280995211713619,0.06,1.0,False,31.98,8.432057874564192,0.8656627056452219,0.1903088934284019,0.8656627056452219,0.8656627056452219,0.1903088934284019,1.0,1.0,1.0,1.0,1.0,0.94,1.08,1.1,1.0,no_outs,50,0,[],0.0,[],"[""PTS"", ""REB""]","[1.0, 1.0]","[""no_outs"", ""no_outs""]",0.0,OK,,,,0.08383928494802616,p_adj,0.266949,p_adj,PR|OVER,1.0,1.0,1.0,1.0,True,0.0,0,,0.03,8.5
10621349|Jaylen Brown|PR|DEMON|39.5|OVER,10621349,136420,2026-03-16,1,PHX,jaylen brown,Jaylen Brown,BOS,PR,PTS+REBS,1,39.5,OVER,DEMON,1,0,,,0,demon,2026-03-16T19:30:00.000-04:00,2026-03-16 05:47:52.693000+00:00,-8.5,BOS,PHX,-8.5,8.5,-8.5,rotowire,True,ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.30301969803019696,0.30301969803019696,0.22695395536846208,0.25802348139436554,0.2925207479252075,0.2925207479252075,0.25360751026757267,0.76,0.76,False,0.35,True,0.13085376583394437,0.03376334421403741,0.03106952602590346,0.03376334421403741,0.03376334421403741,1.1016000000000001,1.1016000000000001,1.12,1.0867029057954745,0.8533750570420704,1.0,1.02,1.08,1.1861861861861862,1.1567870525773476,1.1016000000000001,0.22695395536846208,0.07606574266173488,0.06,1.0,False,33.3,7.108445681019163,1.0254144732544652,0.26048102824526054,1.0254144732544652,1.0254144732544652,0.26048102824526054,1.0,1.0,1.0,1.0,1.0,0.94,1.08,1.1,1.0,combo_no_effect,50,0,"[""john tonje"", ""nikola vucevic""]",0.0,[],"[""PTS"", ""REB""]","[1.0, 1.0]","[""ok"", ""ok""]",0.0,OK,,,,0.22695395536846208,p_adj,0.405797,p_adj,PR|OVER,1.0,1.0,1.0,1.0,True,0.0,0,rotowire,0.03,-8.5
10621358|Jayson Tatum|PR|DEMON|39.5|OVER,10621358,136420,2026-03-16,1,PHX,jayson tatum,Jayson Tatum,BOS,PR,PTS+REBS,1,39.5,OVER,DEMON,1,0,,,0,demon,2026-03-16T19:30:00.000-04:00,2026-03-16 16:06:26.550000+00:00,-8.5,BOS,PHX,-8.5,8.5,-8.5,rotowire,True,ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0010498950104989501,0.0010498950104989501,0.03,0.03,0.0009499050094990501,0.0009499050094990501,0.25360751026757267,0.76,0.76,False,0.35,False,0.0,0.0,0.0,0.0,0.0,1.1016000000000001,1.1016000000000001,1.12,1.0867029057954745,0.8533750570420704,1.0,1.02,1.08,1.377906976744186,1.4184014629550954,1.1016000000000001,0.03,0.0,0.06,1.0,False,28.666666666666668,2.3570226039551585,0.9714506172839507,0.0883344440923684,0.9714506172839507,0.9714506172839507,0.0883344440923684,1.0,1.0,1.0,1.0,1.0,0.94,1.08,1.1,1.0,combo_no_effect,3,0,"[""john tonje"", ""nikola vucevic""]",0.0,[],"[""PTS"", ""REB""]","[1.0, 1.0]","[""ok"", ""ok""]",0.0,OK,,,,0.03,p_adj,0.083333,p_adj,PR|OVER,1.0,1.0,1.0,1.0,True,0.0,0,,0.03,-8.5
10621974|Jaylen Brown|PA|DEMON|39.5|OVER,10621974,136420,2026-03-16,1,PHX,jaylen brown,Jaylen Brown,BOS,PA,PTS+ASTS,1,39.5,OVER,DEMON,1,0,,,0,demon,2026-03-16T19:30:00.000-04:00,2026-03-16 05:19:04.681000+00:00,-8.5,BOS,PHX,-8.5,8.5,-8.5,rotowire,True,ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.22222777722227777,0.22222777722227777,0.16644288592852896,0.1854364620173145,0.21022897710228977,0.21022897710228977,0.25360751026757267,0.76,0.76,False,0.35,True,0.1113069894808685,0.020640374327130697,0.018993576088785546,0.020640374327130697,0.020640374327130697,1.1016000000000001,1.1016000000000001,1.12,1.0867029057954745,0.8533750570420704,1.0,1.02,1.08,1.1861861861861862,1.2429978096402878,1.1016000000000001,0.16644288592852896,0.055784891293748806,0.06,1.0,False,33.3,7.108445681019163,0.9542946713071503,0.23274264080678853,0.9542946713071503,0.9542946713071503,0.23274264080678853,1.0,1.0,1.0,1.0,1.0,0.94,1.08,1.1,1.0,combo_no_effect,50,0,"[""john tonje"", ""nikola vucevic""]",0.0,[],"[""PTS"", ""AST""]","[1.0, 1.0]","[""ok"", ""ok""]",0.0,OK,,,,0.16644288592852896,p_adj,0.300429,p_adj,PA|OVER,1.0,1.0,1.0,1.0,True,0.0,0,rotowire,0.03,-8.5
10620957|Jaylen Brown|PRA|DEMON|38.5|OVER,10620957,136420,2026-03-16,1,PHX,jaylen brown,Jaylen Brown,BOS,PRA,PTS+REBS+ASTS,1,38.5,OVER,DEMON,1,0,,,0,demon,2026-03-16T19:30:00.000-04:00,2026-03-16 17:30:46.435000+00:00,-8.5,BOS,PHX,-8.5,8.5,-8.5,rotowire,True,ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.4871012898710129,0.4871012898710129,0.3648263301691019,0.4226010976247146,0.4791020897910209,0.4791020897910209,0.25360751026757267,0.76,0.76,False,0.35,True,0.14744565025826153,0.0623106936391311,0.05777476745561272,0.0623106936391311,0.0623106936391311,1.092,1.092,1.12,1.0785105052478705,0.8533750570420704,1.0,1.05,1.04,1.1561561561561562,0.9863612329159697,1.092,0.3648263301691019,0.12227495970191105,0.06,1.0,False,33.3,7.108445681019163,1.1721427379482703,0.25432164897208503,1.1721427379482703,1.1721427379482703,0.25432164897208503,1.0,1.0,1.0,1.0,1.0,0.94,1.08,1.1,1.0,combo_no_effect,50,0,"[""john tonje"", ""nikola vucevic""]",0.0,[],"[""PTS"", ""REB"", ""AST""]","[1.0, 1.0, 1.0]","[""ok"", ""ok"", ""ok""]",0.0,OK,,,,0.3648263301691019,p_adj,0.537585,p_adj,PRA|OVER,1.0,1.0,1.0,1.0,True,0.0,0,rotowire,0.03,-8.5
10621125|Devin Booker|PRA|DEMON|38.5|OVER,10621125,136420,2026-03-16,0,BOS,devin booker,Devin Booker,PHX,PRA,PTS+REBS+ASTS,1,38.5,OVER,DEMON,1,0,,,0,demon,2026-03-16T19:30:00.000-04:00,2026-03-16 17:15:47.991000+00:00,8.5,BOS,PHX,-8.5,8.5,8.5,rotowire,True,ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.31201879812018796,0.31201879812018796,0.23369404973677144,0.26322716808117724,0.2984201579842016,0.2984201579842016,0.2536075102675727,0.76,0.76,False,0.35,False,0.12192406185128261,0.03209372552206742,0.029533118344405807,0.03209372552206742,0.03209372552206742,1.1016000000000001,1.1016000000000001,1.12,1.0867029057954745,0.8533750570420707,1.0,1.02,1.08,1.2038774233896186,1.1453919623860531,1.1016000000000001,0.23369404973677144,0.07832474838341652,0.06,1.0,False,31.98,8.432057874564192,1.0510615255948976,0.19893672987121647,1.0510615255948976,1.0510615255948976,0.19893672987121647,1.0,1.0,1.0,1.0,1.0,0.94,1.08,1.1,1.0,no_outs,50,0,[],0.0,[],"[""PTS"", ""REB"", ""AST""]","[1.0, 1.0, 1.0]","[""no_outs"", ""no_outs"", ""no_outs""]",0.0,OK,,,,0.23369404973677144,p_adj,0.405797,p_adj,PRA|OVER,1.0,1.0,1.0,1.0,True,0.0,0,,0.03,8.5
10620897|Devin Booker|PRA|DEMON|37.5|OVER,10620897,136420,2026-03-16,0,BOS,devin booker,Devin Booker,PHX,PRA,PTS+REBS+ASTS,1,37.5,OVER,DEMON,1,0,,,0,demon,2026-03-16T19:30:00.000-04:00,2026-03-16 17:15:48.108000+00:00,8.5,BOS,PHX,-8.5,8.5,8.5,rotowire,True,ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.34111588841115886,0.34111588841115886,0.2554870215276384,0.2924207323749851,0.3315168483151685,0.3315168483151685,0.2536075102675727,0.76,0.76,False,0.35,False,0.13285659889421297,0.038850023949495396,0.0369337108473467,0.038850023949495396,0.038850023949495396,1.0608,1.0608,1.12,1.0518852034681578,0.8533750570420707,1.0,1.02,1.04,1.172607879924953,1.1156415218045972,1.0608,0.2554870215276384,0.08562886688352045,0.06,1.0,False,31.98,8.432057874564192,1.0510615255948976,0.19893672987121647,1.0510615255948976,1.0510615255948976,0.19893672987121647,1.0,1.0,1.0,1.0,1.0,0.94,1.08,1.1,1.0,no_outs,50,0,[],0.0,[],"[""PTS"", ""REB"", ""AST""]","[1.0, 1.0, 1.0]","[""no_outs"", ""no_outs"", ""no_outs""]",0.0,OK,,,,0.2554870215276384,p_adj,0.423611,p_adj,PRA|OVER,1.0,1.0,1.0,1.0,True,0.0,0,,0.03,8.5
10620978|Jayson Tatum|PRA|DEMON|37.5|OVER,10620978,136420,2026-03-16,1,PHX,jayson tatum,Jayson Tatum,BOS,PRA,PTS+REBS+ASTS,1,37.5,OVER,DEMON,1,0,,,0,demon,2026-03-16T19:30:00.000-04:00,2026-03-16 04:26:10.976000+00:00,-8.5,BOS,PHX,-8.5,8.5,-8.5,rotowire,True,ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.20662933706629338,0.20662933706629338,0.15476005569012605,0.17423530592875378,0.19753024697530247,0.19753024697530247,0.25360751026757267,0.76,0.76,False,0.35,False,0.1232219455074308,0.021469613372623434,0.019475250238627728,0.021469613372623434,0.021469613372623434,1.1340000000000001,1.12,1.12,1.1024050068450486,0.8533750570420704,1.0,1.05,1.08,1.3081395348837208,1.1321194238459447,1.1340000000000001,0.15476005569012605,0.05186928137616734,0.06,1.0,False,28.666666666666668,2.3570226039551585,1.1554783950617284,0.1625661921276772,1.1554783950617284,1.1554783950617284,0.1625661921276772,1.0,1.0,1.0,1.0,1.0,0.94,1.08,1.1,1.0,combo_no_effect,3,0,"[""john tonje"", ""nikola vucevic""]",0.0,[],"[""PTS"", ""REB"", ""AST""]","[1.0, 1.0, 1.0]","[""ok"", ""ok"", ""ok""]",0.0,OK,,,,0.15476005569012605,p_adj,0.300429,p_adj,PRA|OVER,1.0,1.0,1.0,1.0,True,0.0,0,,0.03,-8.5
10620959|Jaylen Brown|PRA|DEMON|36.5|OVER,10620959,136420,2026-03-16,1,PHX,jaylen brown,Jaylen Brown,BOS,PRA,PTS+REBS+ASTS,1,36.5,OVER,DEMON,1,0,,,0,demon,2026-03-16T19:30:00.000-04:00,2026-03-16 03:21:14.200000+00:00,-8.5,BOS,PHX,-8.5,8.5,-8.5,rotowire,True,ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.555094490550945,0.555094490550945,0.4157514876185506,0.4853981301842047,0.5502949705029497,0.5502949705029497,0.25360751026757267,0.76,0.76,False,0.35,True,0.14960580486107086,0.0726183779442668,0.06964664256565412,0.0726183779442668,0.0726183779442668,1.05,1.05,1.12,1.0426687528521035,0.8533750570420704,1.0,1.05,1.0,1.0960960960960962,0.9351216883489063,1.05,0.4157514876185506,0.13934300293239438,0.06,1.0,False,33.3,7.108445681019163,1.1721427379482703,0.25432164897208503,1.1721427379482703,1.1721427379482703,0.25432164897208503,1.0,1.0,1.0,1.0,1.0,0.94,1.08,1.1,1.0,combo_no_effect,50,0,"[""john tonje"", ""nikola vucevic""]",0.0,[],"[""PTS"", ""REB"", ""AST""]","[1.0, 1.0, 1.0]","[""ok"", ""ok"", ""ok""]",0.0,OK,,,,0.4157514876185506,p_adj,0.564955,p_adj,PRA|OVER,1.0,1.0,1.0,1.0,True,0.41466084221621413,1,rotowire,0.03,-8.5
10620980|Jayson Tatum|PRA|DEMON|35.5|OVER,10620980,136420,2026-03-16,1,PHX,jayson tatum,Jayson Tatum,BOS,PRA,PTS+REBS+ASTS,1,35.5,OVER,DEMON,1,0,,,0,demon,2026-03-16T19:30:00.000-04:00,2026-03-16 03:22:08.309000+00:00,-8.5,BOS,PHX,-8.5,8.5,-8.5,rotowire,True,ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.31771822817718226,0.31771822817718226,0.23796277617003408,0.2768978703939876,0.3139186081391861,0.3139186081391861,0.25360751026757267,0.76,0.76,False,0.35,False,0.15165124991247078,0.04199190814334956,0.038935094223953526,0.04199190814334956,0.04199190814334956,1.092,1.092,1.12,1.0785105052478705,0.8533750570420704,1.0,1.05,1.04,1.2383720930232558,1.0717397212408277,1.092,0.23796277617003408,0.07975545200714818,0.06,1.0,False,28.666666666666668,2.3570226039551585,1.1554783950617284,0.1625661921276772,1.1554783950617284,1.1554783950617284,0.1625661921276772,1.0,1.0,1.0,1.0,1.0,0.94,1.08,1.1,1.0,combo_no_effect,3,0,"[""john tonje"", ""nikola vucevic""]",0.0,[],"[""PTS"", ""REB"", ""AST""]","[1.0, 1.0, 1.0]","[""ok"", ""ok"", ""ok""]",0.0,OK,,,,0.23796277617003408,p_adj,0.405797,p_adj,PRA|OVER,1.0,1.0,1.0,1.0,True,0.0,0,,0.03,-8.5
10635675|Jaylen Brown|PR|DEMON|35.5|OVER,10635675,136420,2026-03-16,1,PHX,jaylen brown,Jaylen Brown,BOS,PR,PTS+REBS,1,35.5,OVER,DEMON,1,0,,,0,demon,2026-03-16T19:30:00.000-04:00,2026-03-16 23:00:57.377000+00:00,-8.5,BOS,PHX,-8.5,8.5,-8.5,rotowire,True,ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.4231076892310769,0.4231076892310769,0.31689677021667956,0.3643021671165363,0.413008699130087,0.413008699130087,0.25360751026757267,0.76,0.76,False,0.35,True,0.1368782292956915,0.04986503556349458,0.04740539689985673,0.04986503556349458,0.04986503556349458,1.0608,1.0608,1.12,1.0518852034681578,0.8533750570420704,1.0,1.02,1.04,1.0660660660660661,1.039644059911287,1.0608,0.31689677021667956,0.10621091901439733,0.06,1.0,False,33.3,7.108445681019163,1.0254144732544652,0.26048102824526054,1.0254144732544652,1.0254144732544652,0.26048102824526054,1.0,1.0,1.0,1.0,1.0,0.94,1.08,1.1,1.0,combo_no_effect,50,0,"[""john tonje"", ""nikola vucevic""]",0.0,[],"[""PTS"", ""REB""]","[1.0, 1.0]","[""ok"", ""ok""]",0.0,OK,,,,0.31689677021667956,p_adj,0.537585,p_adj,PR|OVER,1.0,1.0,1.0,1.0,True,0.0,0,rotowire,0.03,-8.5
10620609|Devin Booker|PTS|DEMON|34.5|OVER,10620609,136420,2026-03-16,0,BOS,devin booker,Devin Booker,PHX,PTS,POINTS,1,34.5,OVER,DEMON,1,0,,,0,demon,2026-03-16T19:30:00.000-04:00,2026-03-16 03:32:00.986000+00:00,8.5,BOS,PHX,-8.5,8.5,8.5,rotowire,True,ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,0.11723827617238276,0.11723827617238276,0.09931511865362497,0.10684548554416153,0.11503849615038496,0.11503849615038496,0.2536075102675727,0.45599999999999996,0.76,False,0.21,False,0.0752906407935444,0.008044465072517307,0.007530366890536558,0.008044465072517307,0.008044465072517307,1.08,1.08,1.12,1.0682700045633657,0.8533750570420707,1.0,1.0,1.08,1.0787992495309568,1.4657037292643527,1.08,0.09931511865362497,0.017923157518757796,0.06,1.0,False,31.98,8.432057874564192,0.736028180860544,0.2010763800634048,0.736028180860544,0.736028180860544,0.2010763800634048,1.0,1.0,1.0,1.0,1.0,0.94,1.08,1.1,1.0,no_outs,50,0,[],,,"[""PTS""]",[1.0],"[""no_outs""]",0.0,OK,,,,0.09931511865362497,p_adj,0.266949,p_adj,PTS|OVER,1.0,1.0,1.0,1.0,True,0.0,0,,0.03,8.5
10620677|Jaylen Brown|PTS|DEMON|34.5|OVER,10620677,136420,2026-03-16,1,PHX,jaylen brown,Jaylen Brown,BOS,PTS,POINTS,1,34.5,OVER,DEMON,1,0,,,0,demon,2026-03-16T19:30:00.000-04:00,2026-03-16 04:50:55.842000+00:00,-8.5,BOS,PHX,-8.5,8.5,-8.5,rotowire,True,ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,0.21612838716128388,0.21612838716128388,0.1830871035989854,0.1896844017591916,0.20422957704229577,0.20422957704229577,0.25360751026757267,0.45599999999999996,0.76,False,0.21,True,0.037154851270567696,0.007047695735709373,0.006597298160206211,0.007047695735709373,0.007047695735709373,1.08,1.08,1.12,1.0682700045633657,0.8533750570420704,1.0,1.0,1.08,1.0360360360360361,1.2829112597449588,1.08,0.1830871035989854,0.03304128356229849,0.06,1.0,False,33.3,7.108445681019163,0.8075664066133451,0.24071675316830488,0.8075664066133451,0.8075664066133451,0.24071675316830488,1.0,1.0,1.0,1.0,1.0,0.94,1.08,1.1,1.0,ok,50,0,"[""john tonje"", ""nikola vucevic""]",0.0,[],,,,0.0,OK,BOS,PTS,1.0,0.1830871035989854,p_adj,0.37587,p_adj,PTS|OVER,1.0,1.0,1.0,1.0,True,0.0,0,rotowire,0.03,-8.5
10620682|Jaylen Brown|PRA|STANDARD|34.5|OVER,10620682,136420,2026-03-16,1,PHX,jaylen brown,Jaylen Brown,BOS,PRA,PTS+REBS+ASTS,1,34.5,OVER,STANDARD,1,0,,,0,standard,2026-03-16T19:30:00.000-04:00,2026-03-16 22:43:59.909000+00:00,-8.5,BOS,PHX,-8.5,8.5,-8.5,rotowire,True,ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.6222877712228777,0.6222877712228777,0.46607752556859394,0.5456374184400077,0.6185881411858815,0.6185881411858815,0.25360751026757267,0.76,0.76,False,0.35,True,0.1520324880109092,0.08295461427728393,0.07955989287141374,0.08295461427728393,0.08295461427728393,1.05,1.05,1.12,1.0426687528521035,0.8533750570420704,1.0,1.05,1.0,1.0360360360360361,0.8838821437818429,1.05,0.46607752556859394,0.15621024565428376,0.06,1.0,False,33.3,7.108445681019163,1.1721427379482703,0.25432164897208503,1.1721427379482703,1.1721427379482703,0.25432164897208503,1.0,1.0,1.0,1.0,1.0,0.94,1.08,1.1,1.0,combo_no_effect,50,0,"[""john tonje"", ""nikola vucevic""]",0.0,[],"[""PTS"", ""REB"", ""AST""]","[1.0, 1.0, 1.0]","[""ok"", ""ok"", ""ok""]",0.0,OK,,,,0.46607752556859394,p_adj,0.564955,p_adj,PRA|OVER,1.0,1.0,1.0,1.0,True,0.8033165142394573,1,rotowire,0.03,-8.5
